mtry,min_n,.metric,.estimator,mean,n,std_err,.config
3,1,mae,standard,0.23702651548681242,10,0.013729283803533382,Model01
3,1,rmse,standard,0.33334331930045086,10,0.021391968161360807,Model01
3,1,rsq,standard,0.7667835196064853,10,0.023783487957235772,Model01
5,1,mae,standard,0.22708882120179907,10,0.012850079721409611,Model02
5,1,rmse,standard,0.32290117603149343,10,0.019582522501747433,Model02
5,1,rsq,standard,0.7782587817455323,10,0.0212311170935772,Model02
7,1,mae,standard,0.22361871755809828,10,0.013327276991753517,Model03
7,1,rmse,standard,0.31653550562204,10,0.019843494707591544,Model03
7,1,rsq,standard,0.7865707099850631,10,0.022200789854887944,Model03
10,1,mae,standard,0.2245941633875176,10,0.013139189223593134,Model04
10,1,rmse,standard,0.32333125008839797,10,0.020669635262810508,Model04
10,1,rsq,standard,0.7725666034975598,10,0.023255956030620688,Model04
3,3,mae,standard,0.23728809506457632,10,0.012807829842670133,Model05
3,3,rmse,standard,0.33384800378181023,10,0.020535892153195758,Model05
3,3,rsq,standard,0.7670419641351905,10,0.02270995204051049,Model05
5,3,mae,standard,0.22925025544232444,10,0.012854403143686764,Model06
5,3,rmse,standard,0.32580298248790424,10,0.019896555186673107,Model06
5,3,rsq,standard,0.7756344147697967,10,0.021862534420715337,Model06
7,3,mae,standard,0.22751742843789244,10,0.01289618167333133,Model07
7,3,rmse,standard,0.3251222382586886,10,0.01927186349654695,Model07
7,3,rsq,standard,0.7737332833305427,10,0.021431495021867163,Model07
10,3,mae,standard,0.22395896020190553,10,0.013967533008561935,Model08
10,3,rmse,standard,0.3230806380496735,10,0.02062627414762448,Model08
10,3,rsq,standard,0.7743338184191088,10,0.02235622489918079,Model08
3,5,mae,standard,0.24215418992978302,10,0.012338411322870453,Model09
3,5,rmse,standard,0.3413453027437771,10,0.01912095824271522,Model09
3,5,rsq,standard,0.7572037999881012,10,0.02167299710792021,Model09
5,5,mae,standard,0.22812441889942134,10,0.013325135088917186,Model10
5,5,rmse,standard,0.32522536213146996,10,0.020193135975034953,Model10
5,5,rsq,standard,0.7758638638526327,10,0.022106193451428505,Model10
7,5,mae,standard,0.22791549897270222,10,0.013263883094687238,Model11
7,5,rmse,standard,0.32499644623608803,10,0.01965501345757098,Model11
7,5,rsq,standard,0.7757053197693081,10,0.022312802856755437,Model11
10,5,mae,standard,0.2257897060949883,10,0.013305080865059295,Model12
10,5,rmse,standard,0.32560743000232417,10,0.020202044294820587,Model12
10,5,rsq,standard,0.7703298512201503,10,0.021640752562928765,Model12
3,7,mae,standard,0.24253094348813067,10,0.01345786267946948,Model13
3,7,rmse,standard,0.33954623962640745,10,0.02005229097532256,Model13
3,7,rsq,standard,0.7608498767398124,10,0.02257850419352564,Model13
5,7,mae,standard,0.2348377383670516,10,0.013674413392157298,Model14
5,7,rmse,standard,0.3322685506651306,10,0.02004556674157505,Model14
5,7,rsq,standard,0.767835844613114,10,0.020877201779301868,Model14
7,7,mae,standard,0.22895627737999158,10,0.013520673613669262,Model15
7,7,rmse,standard,0.3246872078845235,10,0.020215811215967952,Model15
7,7,rsq,standard,0.7768947334131663,10,0.02215122738240273,Model15
10,7,mae,standard,0.2268654473499325,10,0.012930812158041158,Model16
10,7,rmse,standard,0.32285831660780373,10,0.019981418854392627,Model16
10,7,rsq,standard,0.7754252970693626,10,0.021850026959770837,Model16
