mod_num,time_to_create,ntrees,max_depth,min_rows,mtries,min_split_improvement,sample_rate,nbins,col_sample_rate_per_tree,r_2,r_2_test,mae_test,mse_test
1,2.6700000000000728,50,3,1,4,1e-4,0.632,4,0.8,0.5368583753875702,0.4829013710703791,0.3864793749301713,0.28869200841606174
2,3.0500000000010914,100,3,1,4,1e-4,0.632,4,0.8,0.5359833911182722,0.4815202288461672,0.38681686077901367,0.2875502775555814
3,3.0500000000010914,50,7,1,4,1e-4,0.632,4,0.8,0.6914166277221568,0.6558756884188803,0.28933364045990295,0.19032407950134497
4,3.209999999999127,100,7,1,4,1e-4,0.632,4,0.8,0.6982746992263424,0.6502330796002099,0.2884954067143817,0.19371555794301792
5,3.0100000000002183,50,10,1,4,1e-4,0.632,4,0.8,0.7154955729642348,0.6847517457687036,0.267241620059939,0.17431530243589574
6,3.3399999999983265,100,10,1,4,1e-4,0.632,4,0.8,0.7239126494190826,0.6790722724980492,0.26524547154203115,0.17727608831041108
7,3.139999999999418,50,15,1,4,1e-4,0.632,4,0.8,0.7244150652622814,0.6955834284748741,0.2511137396227511,0.1615614517448782
8,3.470000000001164,100,15,1,4,1e-4,0.632,4,0.8,0.7322407344021572,0.6878742184761862,0.2522698376656096,0.16744938533064005
9,3.110000000000582,50,20,1,4,1e-4,0.632,4,0.8,0.7248349329996131,0.6957925430252682,0.2505704735431317,0.16159055857048069
10,3.8299999999999272,100,20,1,4,1e-4,0.632,4,0.8,0.7325883082788085,0.6879356788939618,0.25184911000438576,0.16745974668608207
11,2.9799999999995634,50,3,1,7,1e-4,0.632,4,0.8,0.5445255130412414,0.49715231154217676,0.3716255831139642,0.26367815093352803
12,3.109999999998763,100,3,1,7,1e-4,0.632,4,0.8,0.5458896687685528,0.4984891842944821,0.3696101378571848,0.26295913582018
13,3.4799999999995634,50,7,1,7,1e-4,0.632,4,0.8,0.697251968296972,0.661542297214412,0.271402399006453,0.1756038057898414
14,3.25,100,7,1,7,1e-4,0.632,4,0.8,0.7083774035783594,0.6646737034832737,0.2735497126703503,0.1778856404952425
15,3.0100000000002183,50,10,1,7,1e-4,0.632,4,0.8,0.7119880786912055,0.6751017170236301,0.25816186315099976,0.17070730639057285
16,3.3700000000008004,100,10,1,7,1e-4,0.632,4,0.8,0.7236960983907531,0.6793857659415304,0.258147772755423,0.16905600087360934
17,3.1599999999998545,50,15,1,7,1e-4,0.632,4,0.8,0.7146152556022425,0.6761204425759375,0.25444743128715985,0.16940174700205163
18,3.460000000000946,100,15,1,7,1e-4,0.632,4,0.8,0.7267824373169233,0.6823445011337856,0.2539070990176567,0.16763458162281714
19,3.1900000000005093,50,20,1,7,1e-4,0.632,4,0.8,0.7144259644613211,0.6761720152101792,0.2542312020041306,0.16960557209743618
20,3.5,100,20,1,7,1e-4,0.632,4,0.8,0.7267344086877403,0.6823635925269033,0.2538110162663845,0.16775559106143229
21,1.7299999999995634,50,3,1,4,0.001,0.632,4,0.8,0.5368583753875702,0.4829013710703791,0.3864793749301713,0.28869200841606174
22,3.0799999999999272,100,3,1,4,0.001,0.632,4,0.8,0.5359833911182722,0.4815202288461672,0.38681686077901367,0.2875502775555814
23,3,50,7,1,4,0.001,0.632,4,0.8,0.6914166277221568,0.6558756884188803,0.28933364045990295,0.19032407950134497
24,3.2700000000004366,100,7,1,4,0.001,0.632,4,0.8,0.6982746992263424,0.6502330796002099,0.2884954067143817,0.19371555794301792
25,3.099999999998545,50,10,1,4,0.001,0.632,4,0.8,0.7156386338691106,0.6849666313198532,0.2669266959243752,0.17411128954685498
26,3.3400000000001455,100,10,1,4,0.001,0.632,4,0.8,0.7239312023886092,0.6791551246043203,0.2650766046712852,0.17725433247127004
27,3.110000000000582,50,15,1,4,0.001,0.632,4,0.8,0.724658647572342,0.6961989871303247,0.25070170865155017,0.16103904969242683
28,3.3700000000008004,100,15,1,4,0.001,0.632,4,0.8,0.7322826849043436,0.6885485792713619,0.2516762749348718,0.16688654441487896
29,3.109999999998763,50,20,1,4,0.001,0.632,4,0.8,0.7251110360146558,0.6963934322397444,0.2502125533073645,0.1610700258985319
30,3.4099999999998545,100,20,1,4,0.001,0.632,4,0.8,0.7326527602833497,0.688573386988304,0.2512788177537587,0.16690923576247982
31,1.7200000000011642,50,3,1,7,0.001,0.632,4,0.8,0.5445255130412414,0.49715231154217676,0.3716255831139642,0.26367815093352803
32,3.1599999999998545,100,3,1,7,0.001,0.632,4,0.8,0.5458896687685528,0.4984891842944821,0.3696101378571848,0.26295913582018
