avg_pct_change,sd_pct_change,avg_vol,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio,pays_dividend,dividend_yield,response
6.857269873162732e-5,0.012884282675422432,354671.4285714286,14.91,3.11,-26.64,11.5,-5.86,1,0.012535003689217025,-0.08890370151891595
8.831732544387222e-4,0.0209747702680743,418673.7704918033,12.74,2.6,-21.28,10.13,-5.33,1,0.01572851473668653,0.03736958647466939
0.001124132931378661,0.010521136218300338,335734.92063492065,13.69,2.83,-23.38,11.41,-5.62,1,0.01619617869822807,0.07527938370862353
-0.001852976936597377,0.016395043824884048,398919.04761904763,13.9,2.56,-9.56,11.62,-3.27,1,0.016352195937145958,0.07722591255909522
-0.001852976936597377,0.016395043824884048,398919.04761904763,13.9,2.56,-9.56,11.62,-3.27,1,0.016352195937145958,0.07722591255909522
-6.083681279232989e-4,0.017830756383955978,355946.875,11.8,2.15,-7.93,9.87,-3.09,1,0.016851260332599986,-0.03223574811505063
0.002650228623716883,0.02418955756373714,356078.68852459016,11.77,2.14,-9.14,11.11,-3.39,1,0.03801482577300511,0.21877629107277935
-0.0016645576464451514,0.018337817726607645,331940.625,9.19,1.62,-8.82,9.13,-4.03,1,0.03790274067907202,0.30635579292797255
0.004322401699142016,0.0350343368554046,595684.375,9.57,1.62,-11.56,8.53,-4.87,1,0.04557854783664757,0.4842083810825073
0.004322401699142016,0.0350343368554046,595684.375,9.57,1.62,-11.56,8.53,-4.87,1,0.04557854783664757,0.4842083810825073
0.0036860148038675377,0.05349674750983743,647821.875,11.69,1.84,-8.25,12.73,-3.38,1,0.04967233571142227,0.6551185266869489
0.0036860148038675377,0.05349674750983743,647821.875,11.69,1.84,-8.25,12.73,-3.38,1,0.04967233571142227,0.6551185266869489
0.0036860148038675377,0.05349674750983743,647821.875,11.69,1.84,-8.25,12.73,-3.38,1,0.04967233571142227,0.6551185266869489
0.0036860148038675377,0.05349674750983743,647821.875,11.69,1.84,-8.25,12.73,-3.38,1,0.04967233571142227,0.6551185266869489
0.0036860148038675377,0.05349674750983743,647821.875,11.69,1.84,-8.25,12.73,-3.38,1,0.04967233571142227,0.6551185266869489
0.0036860148038675377,0.05349674750983743,647821.875,11.69,1.84,-8.25,12.73,-3.38,1,0.04967233571142227,0.6551185266869489
0.0017567904118502666,0.03427563970810918,574114.7540983607,10.24,1.61,-6.65,10.6,-3.28,1,0.04203971372010872,0.646827655996079
0.0018683927953371939,0.02139336448646847,454715.873015873,10.77,1.73,-7.14,10.02,-3.53,1,0.0412841620209483,0.565561179494377
0.0018683927953371939,0.02139336448646847,454715.873015873,10.77,1.73,-7.14,10.02,-3.53,1,0.0412841620209483,0.565561179494377
0.0018683927953371939,0.02139336448646847,454715.873015873,10.77,1.73,-7.14,10.02,-3.53,1,0.0412841620209483,0.565561179494377
0.0018683927953371939,0.02139336448646847,454715.873015873,10.77,1.73,-7.14,10.02,-3.53,1,0.0412841620209483,0.565561179494377
0.002953201569013641,0.018599353194631223,364906.25,12.81,2.07,-8.83,14.52,-3.66,1,0.0390229031755604,0.6202746185583463
4.925531910786475e-4,0.01215777996356447,260496.875,12.33,2.15,-10.54,11.93,-3.98,1,0.03539246247131629,0.5866660341911726
4.925531910786475e-4,0.01215777996356447,260496.875,12.33,2.15,-10.54,11.93,-3.98,1,0.03539246247131629,0.5866660341911726
4.925531910786475e-4,0.01215777996356447,260496.875,12.33,2.15,-10.54,11.93,-3.98,1,0.03539246247131629,0.5866660341911726
4.925531910786475e-4,0.01215777996356447,260496.875,12.33,2.15,-10.54,11.93,-3.98,1,0.03539246247131629,0.5866660341911726
0.002183958049711335,0.01336007185550795,179770.49180327868,13.71,2.39,-11.58,13.99,-4.14,1,0.03367889690716284,0.6574527978298488
-3.8453260581781734e-4,0.015214141241979666,266552.38095238095,11.75,2.05,-11.99,13.23,-5.02,1,0.03215076597937792,0.5775961699358139
-3.8453260581781734e-4,0.015214141241979666,266552.38095238095,11.75,2.05,-11.99,13.23,-5.02,1,0.03215076597937792,0.5775961699358139
-3.8453260581781734e-4,0.015214141241979666,266552.38095238095,11.75,2.05,-11.99,13.23,-5.02,1,0.03215076597937792,0.5775961699358139
-3.8453260581781734e-4,0.015214141241979666,266552.38095238095,11.75,2.05,-11.99,13.23,-5.02,1,0.03215076597937792,0.5775961699358139
0.0024231505831204194,0.018693828548361865,153437.5,13.22,2.41,-18.67,11.8,-6.34,1,0.03319671169824074,0.4809756893502258
0.0024231505831204194,0.018693828548361865,153437.5,13.22,2.41,-18.67,11.8,-6.34,1,0.03319671169824074,0.4809756893502258
6.855476833244161e-4,0.010123425593151424,128515.625,13.95,2.48,-25.62,12.36,-8.09,1,0.029636490001744346,0.3732348067573234
0.001343822700453781,0.012190061016013555,111593.54838709677,14.23,2.5,-31.06,13.7,-9.41,1,0.019673910798948552,0.2948963582701864
-7.081694301194981e-4,0.01294473491799788,139600,12.22,2.11,-47.09,11.13,-16.79,1,0.02109780869156669,0.36837227694829494
6.39909043020706e-5,0.019162819436796024,228607.8125,10.77,1.86,-80.73,9.23,-33.4,1,0.025103997904774092,0.5220317380520957
0.004152813434287148,0.01748526853699053,174888.88888888888,13.7,2.35,-57.8,12.17,-18.52,1,0.021648212072265985,0.42386486450975724
6.90826212318804e-5,0.009744838230946958,179695.16129032258,12.95,2.25,-55.53,11.24,-17.93,1,0.3020722915976385,0.5246248406342175
8.845934964526728e-4,0.012614008413750289,147949.20634920636,13.3,2.37,-138.47,12.48,-77.29,1,0.29829975409585097,0.5953015829109831
3.277763743686272e-4,0.010869351210112737,184511.11111111112,13.91,2.47,-2.94,12.68,-1.85,1,0.30052784820415646,0.577156785370628
