mtry,tree_depth,learn_rate,.metric,.estimator,mean,n,std_err,.config
10,1,0.01,rsq,standard,0.39986584326362573,10,0.03941430667045979,Preprocessor1_Model20
3,3,0.01,mae,standard,0.33505479126106363,10,0.011273530530960385,Preprocessor1_Model21
3,3,0.01,rmse,standard,0.44612213888270924,10,0.014501370472690964,Preprocessor1_Model21
3,3,0.01,rsq,standard,0.5867875937125161,10,0.029793011706430245,Preprocessor1_Model21
5,3,0.01,mae,standard,0.3324938235542935,10,0.01076865268947733,Preprocessor1_Model22
5,3,0.01,rmse,standard,0.44504064677798066,10,0.01381148575699657,Preprocessor1_Model22
5,3,0.01,rsq,standard,0.5849152543795534,10,0.032108868530395476,Preprocessor1_Model22
7,3,0.01,mae,standard,0.33114546713645165,10,0.01055501669030248,Preprocessor1_Model23
7,3,0.01,rmse,standard,0.4452509758428721,10,0.013732652194287459,Preprocessor1_Model23
7,3,0.01,rsq,standard,0.5821186363073105,10,0.031069358770531085,Preprocessor1_Model23
10,3,0.01,mae,standard,0.32794650882523085,10,0.010419900098629642,Preprocessor1_Model24
10,3,0.01,rmse,standard,0.44294551842027635,10,0.014197329121101663,Preprocessor1_Model24
10,3,0.01,rsq,standard,0.5834105833518924,10,0.030979876579196913,Preprocessor1_Model24
3,5,0.01,mae,standard,0.29421566079846917,10,0.009172762358650804,Preprocessor1_Model25
3,5,0.01,rmse,standard,0.40530281350973857,10,0.012486104840192625,Preprocessor1_Model25
3,5,0.01,rsq,standard,0.6509619730969742,10,0.02976790496317798,Preprocessor1_Model25
5,5,0.01,mae,standard,0.28656460518517934,10,0.010098682467669078,Preprocessor1_Model26
5,5,0.01,rmse,standard,0.4009328118760086,10,0.012585766802812051,Preprocessor1_Model26
5,5,0.01,rsq,standard,0.6553747158323286,10,0.022823578540291885,Preprocessor1_Model26
7,5,0.01,mae,standard,0.2869881113525724,10,0.009774070399863152,Preprocessor1_Model27
7,5,0.01,rmse,standard,0.4003817339472707,10,0.01352838034085035,Preprocessor1_Model27
7,5,0.01,rsq,standard,0.6530868137247414,10,0.023748150877722685,Preprocessor1_Model27
10,5,0.01,mae,standard,0.29235251588323347,10,0.010310817109632718,Preprocessor1_Model28
10,5,0.01,rmse,standard,0.4031999623224717,10,0.015067749976683338,Preprocessor1_Model28
10,5,0.01,rsq,standard,0.645806160628247,10,0.021428104755144815,Preprocessor1_Model28
3,7,0.01,mae,standard,0.2764904182369909,10,0.009553585846934044,Preprocessor1_Model29
3,7,0.01,rmse,standard,0.38892769134985483,10,0.013801334622047709,Preprocessor1_Model29
3,7,0.01,rsq,standard,0.6779388564702429,10,0.026250237378425613,Preprocessor1_Model29
5,7,0.01,mae,standard,0.2729243192366115,10,0.01014872583694151,Preprocessor1_Model30
5,7,0.01,rmse,standard,0.3868481499819961,10,0.01226638889108388,Preprocessor1_Model30
5,7,0.01,rsq,standard,0.6745747177265171,10,0.022164142430077444,Preprocessor1_Model30
7,7,0.01,mae,standard,0.2716750211685681,10,0.010455909352475198,Preprocessor1_Model31
7,7,0.01,rmse,standard,0.3890016672870671,10,0.014808062016735509,Preprocessor1_Model31
7,7,0.01,rsq,standard,0.6677320514186056,10,0.024784447730592452,Preprocessor1_Model31
10,7,0.01,mae,standard,0.28411997089535407,10,0.011758206842923754,Preprocessor1_Model32
10,7,0.01,rmse,standard,0.4085815968576696,10,0.016924736220914,Preprocessor1_Model32
10,7,0.01,rsq,standard,0.6285455539096696,10,0.03614356798927665,Preprocessor1_Model32
3,1,0.001,mae,standard,0.5288551979415046,10,0.017588410356820332,Preprocessor1_Model33
3,1,0.001,rmse,standard,0.655448081003551,10,0.02301511608815452,Preprocessor1_Model33
3,1,0.001,rsq,standard,0.29489837984227374,10,0.03855481301180536,Preprocessor1_Model33
5,1,0.001,mae,standard,0.5241063409696965,10,0.01713203616873426,Preprocessor1_Model34
5,1,0.001,rmse,standard,0.6510730580922413,10,0.022245997987798225,Preprocessor1_Model34
5,1,0.001,rsq,standard,0.26244050057609053,10,0.04285096214420262,Preprocessor1_Model34
7,1,0.001,mae,standard,0.5217217607068865,10,0.016859758847087562,Preprocessor1_Model35
7,1,0.001,rmse,standard,0.6497969032237582,10,0.02160712796030332,Preprocessor1_Model35
7,1,0.001,rsq,standard,0.22214990986375308,10,0.044703171484732414,Preprocessor1_Model35
10,1,0.001,mae,standard,0.521864026799616,10,0.016841053133544583,Preprocessor1_Model36
10,1,0.001,rmse,standard,0.650286733334237,10,0.021424966646918602,Preprocessor1_Model36
10,1,0.001,rsq,standard,0.20905514725257396,10,0.04338668027038388,Preprocessor1_Model36
3,3,0.001,mae,standard,0.4878800901005936,10,0.016370931233734502,Preprocessor1_Model37
3,3,0.001,rmse,standard,0.605922387068261,10,0.021194367769587566,Preprocessor1_Model37
3,3,0.001,rsq,standard,0.4925069510146575,10,0.030132708380091428,Preprocessor1_Model37
5,3,0.001,mae,standard,0.47588002852753625,10,0.015635364770463636,Preprocessor1_Model38
5,3,0.001,rmse,standard,0.5921370809735897,10,0.020654470804659004,Preprocessor1_Model38
5,3,0.001,rsq,standard,0.4774249191518501,10,0.025677554616783123,Preprocessor1_Model38
7,3,0.001,mae,standard,0.4687597352980327,10,0.015237005947096099,Preprocessor1_Model39
7,3,0.001,rmse,standard,0.5841497949319485,10,0.02011723890109995,Preprocessor1_Model39
7,3,0.001,rsq,standard,0.46788698306656595,10,0.025109088698771608,Preprocessor1_Model39
