mod_num,time_to_create,n_yes_train,n_no_train,n_yes_test,n_no_test,ntrees,max_depth,min_rows,distribution,learn_rate,learn_rate_annealing,min_split_improvement,sample_rate,nbins,col_sample_rate_per_tree,histogram_type,gini,auc,threshold_max_f1,sensitivity_max_f1,specificity_max_f1,precision_max_f1,accuracy_max_f1,threshold_98_specificity,sensitivity_98_specificity,specificity_98_specificity,precision_98_specificity,accuracy_98_specificity
1,4.779999999999973,187,567,48,193,100,1,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.5653358986692318,0.7826679493346159,0.36689849594969,0.375,0.9792746113989638,0.8181818181818182,0.8589211618257261,0.3759194007476323,0.3541666666666667,0.9896373056994818,0.8947368421052632,0.8630705394190872
2,8.36999999999989,187,567,48,193,300,1,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.6067208027992341,0.8033604013996171,0.377265856021215,0.375,0.9844559585492227,0.8571428571428571,0.8630705394190872,0.3772658560212146,0.375,0.9844559585492227,0.8571428571428571,0.8630705394190872
3,4.910000000000082,187,567,48,193,100,3,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.907591319356025,0.9537956596780125,0.335925965603755,0.6041666666666666,0.9430051813471503,0.725,0.8755186721991701,0.4463147385722544,0.4583333333333333,0.9844559585492227,0.88,0.8796680497925311
4,9.960000000000036,187,567,48,193,300,3,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9358005828594063,0.9679002914297031,0.366062110334564,0.625,0.9585492227979274,0.7894736842105263,0.8921161825726142,0.41513009937774875,0.5,0.9844559585492227,0.8888888888888888,0.8879668049792531
5,7.3599999999999,187,567,48,193,100,7,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.325724536050995,0.6875,0.9689119170984456,0.8461538461538461,0.9128630705394191,0.40733654760339927,0.625,0.9844559585492227,0.9090909090909091,0.9128630705394191
6,15.840000000000146,187,567,48,193,300,7,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.315386370174803,0.7083333333333334,0.9740932642487047,0.8717948717948718,0.921161825726141,0.43242874769024714,0.6458333333333334,0.9844559585492227,0.9117647058823529,0.91701244813278
7,10.519999999999982,187,567,48,193,100,10,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.354638338621907,0.7083333333333334,0.9689119170984456,0.85,0.91701244813278,0.4846168448294644,0.6041666666666666,0.9844559585492227,0.90625,0.9087136929460581
8,23.029999999999973,187,567,48,193,300,10,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.179689934931179,0.7708333333333334,0.9533678756476683,0.8043478260869565,0.91701244813278,0.5236043148190782,0.6041666666666666,0.9844559585492227,0.90625,0.9087136929460581
9,3.589999999999918,187,567,48,193,100,1,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.42865631100925206,0.714328155504626,0.250520440450645,0.5,0.8704663212435233,0.4897959183673469,0.7966804979253111,Inf,0.3125,0.9585492227979274,0.6521739130434783,0.8298755186721992
10,8.600000000000136,187,567,48,193,300,1,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.46491997472389635,0.7324599873619482,0.252415222193307,0.5,0.8652849740932642,0.48,0.7925311203319502,0.3658292590558885,0.3125,0.9896373056994818,0.8823529411764706,0.8547717842323651
11,3.9700000000000273,187,567,48,193,100,3,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.8230672740476663,0.9115336370238332,0.282435531307722,0.5208333333333334,0.917098445595855,0.6097560975609756,0.8381742738589212,0.3731423603116973,0.3333333333333333,0.9844559585492227,0.8421052631578947,0.8547717842323651
12,10.610000000000127,187,567,48,193,300,3,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.8408737232266643,0.9204368616133322,0.296558052357185,0.5208333333333334,0.927461139896373,0.6410256410256411,0.8464730290456431,0.40499330153698504,0.3541666666666667,0.9844559585492227,0.85,0.8589211618257261
13,7.7999999999999545,187,567,48,193,100,7,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9983778022993708,0.9991889011496854,0.290554567363941,0.7083333333333334,0.9481865284974094,0.7727272727272727,0.9004149377593361,0.3499452145219164,0.5833333333333334,0.9844559585492227,0.9032258064516129,0.9045643153526971
14,17.190000000000055,187,567,48,193,300,7,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9989908421280971,0.9994954210640485,0.298636219750315,0.7291666666666666,0.9533678756476683,0.7954545454545454,0.9087136929460581,0.3886377336541707,0.5833333333333334,0.9844559585492227,0.9032258064516129,0.9045643153526971
15,9.990000000000009,187,567,48,193,100,10,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.305885209379547,0.6875,0.9689119170984456,0.8461538461538461,0.9128630705394191,0.35633177477832134,0.5833333333333334,0.9844559585492227,0.9032258064516129,0.9045643153526971
16,25.029999999999973,187,567,48,193,300,10,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.321173864557241,0.7083333333333334,0.9740932642487047,0.8717948717948718,0.921161825726141,0.3634548487979095,0.625,0.9844559585492227,0.9090909090909091,0.9128630705394191
