avg_pct_change,sd_pct_change,avg_vol,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio,pays_dividend,dividend_yield,response
0.0030454108577140622,0.02416556894266709,177620.6349206349,15.65,2.4,4.28,12.94,0.28,0,0,0.13231482369617834
0.003549874499175607,0.018505215126724935,119429.6875,19.56,2.82,4.99,27.04,0.27,0,0,0.17233340007208822
-0.00132180530026842,0.01917316906378849,166107.8125,14.29,2.34,4.4,17.13,0.3,0,0,0.11067726760253639
0.0012096704335672025,0.005932576927338976,61829.032258064515,13.05,2.29,4.46,18.76,0.23,0,0,-0.0029490483160842925
0.0029891449249208448,0.014438987925358604,81465.07936507936,16.4,2.56,5.04,15.74,0.21,0,0,-0.08909076271400032
-5.1246763123311466e-6,0.013997882735068747,73135.9375,13.8,2.23,4.85,11.52,0.28,0,0,-0.06636146475204087
0.0035380428605571545,0.015356129988872287,106836.50793650794,16.9,2.85,6.62,12.68,0.35,0,0,-0.30195633718577336
3.074278846848636e-4,0.019554885409853784,151108.06451612903,17.63,3.04,7.52,15.83,0.37,0,0,-0.5393750968151958
0.0031488680516381716,0.020874280412798145,133957.14285714287,17.9,3.29,7.85,18.61,0.31,0,0,-0.6788924789741967
0.0022754763194108387,0.01851010964190234,125817.46031746031,19.04,3.62,8.12,18.49,0.32,0,0,-0.9583699120540151
0.0037517013291906974,0.03788889140693573,265603.22580645164,19.61,3.8,12.7,26.72,1.69,0,0,-1.031006149297588
-0.0033239050944897917,0.024019103029434948,230551.66666666666,15.47,3.01,9.67,24.22,1.58,0,0,-0.8475477819923835
0.005476436597434591,0.02019054624219781,238748.4375,20.37,3.8,12.65,23.02,2.75,0,0,-0.8511103784266724
0.0055500565590780445,0.022994261406224358,116064.0625,28.17,5.11,18.45,28.97,2.73,0,0,-0.967552443753936
0.0023147122169656347,0.022015762352266724,103487.5,30.56,5.18,22.76,26.26,3.63,0,0,-1.321006069040178
-0.0029462780469354756,0.031083179637609308,294595.08196721313,21.34,3.54,16.72,17.67,3.52,0,0,-1.2342760082432485
-3.9724502703173943e-4,0.02514797344623864,237576.19047619047,17.13,2.93,14.58,15.88,3.12,0,0,-1.2073125918194443
-0.0022085638075501853,0.027501133073997118,257640.625,14.28,2.34,23.43,20.92,8.15,0,0,-1.200931171236632
-0.009108501062452298,0.05620411027609772,553303.125,6.08,0.75,16.53,6.02,18.02,0,0,-0.924892533288018
-0.010705673463538382,0.09991873081951919,770577.0491803279,3.12,0.28,6.19,3.46,17.16,0,0,-0.15802247630083177
0.011838156819973572,0.05242094869105803,565907.9365079365,7.49,0.65,11.8,7.94,14.05,0,0,-0.7123422155393472
-0.003604079242961328,0.044692084059100856,380829.6875,5.76,0.49,4.66,3.77,7.07,0,0,-0.6681274607756232
0.004387469342575128,0.030701960275857917,469365.625,19.74,0.54,7.47,3.09,8.87,0,0,-0.8502102597599414
-4.978712387023087e-4,0.012911101382428581,5726.984126984127,3.89,3.11,0,0,1.14,0,0,-0.2941005434199113
-0.0015701732140509638,0.012108977578159196,6065.573770491803,3.95,3.09,0,0,1.16,1,0.08620863701520262,-0.28540535068786627
-0.0015701732140509638,0.012108977578159196,6065.573770491803,3.95,3.09,0,0,1.16,1,0.08620863701520262,-0.28540535068786627
-0.002435073180727606,0.013465570322056693,20085.714285714286,3.98,3.11,0,0,1.21,1,0.08583440383043327,-0.2563034128786872
-0.003887256337449479,0.02451553582337628,18011.11111111111,12.73,2.99,0,0,1.27,1,0.09117598412173339,-0.1726398300526993
-0.0050044043916821915,0.02384751081951149,19100,10.61,2.5,0,0,1.57,1,0.0952725262105778,-0.03298740523586394
-0.006458423895934028,0.023977959937941856,15254.098360655738,16.73,2.34,0,0,1.76,1,0.021067173199792785,0.1593689455042165
-0.0033250897586622604,0.0236049311935023,12000,11.12,1.74,0,23.49,1.64,1,0.02133993855240908,0.14254670914239037
0.0013261305517622026,0.0334803461568175,13921.875,15.05,1.65,0,41.24,2.13,1,0.02265887767746504,0.1941935008521378
-0.006567531399508401,0.04888764882802595,13878.125,12.77,1.4,0,0,2.87,1,0.02739223479058392,0.3531683444233286
-0.002876805795493299,0.04423371221228267,10839.344262295082,10.6,1.86,0,0,1.76,1,0.09563002155594749,0.12502233598160511
-0.006236751426339041,0.04520926080372467,64149.206349206346,13.52,1.82,0,0,1.15,1,0.09890109890109891,0.1468644036730871
-0.006776952487035051,0.015903283417082564,24762.5,11.04,2.26,0,87.84,1.14,1,0.09726971720132445,0.13324366736216003
-0.001941368902132764,0.02543646388250844,87165.625,11.33,1.76,0,0,0.94,1,0.10229186288780433,0.11610911781307749
-0.002918538923437778,0.012928655915548818,50108.19672131148,16.94,1.92,0,0,0.88,1,0.06688408445556523,0.06842217440361506
-7.20260092580042e-4,0.01373364387774754,172544.44444444444,13.27,2.04,0,0,0.57,1,0.07041930583818176,0.10474956984685917
-8.754298105170572e-4,0.010559733141951301,112654.6875,38.41,2.4,0,0,0.83,1,0.07083061380856438,0.08397248402724343
-6.686374514877299e-4,0.007761108080046028,91426.5625,25.34,2.68,0.54,109.11,0.89,1,0.07271667880553533,0.0892266926685725
-0.001106088617723572,0.008302174543057764,98200,27.97,3.08,0.59,90.55,1.09,1,0.09358762228221429,-0.0037254714100137553
-0.0017285656585650782,0.010446040686030805,56557.142857142855,62.65,3.03,0.54,45.48,1.11,1,0.09214671467146715,0.053512338770040864
-5.625904453336116e-4,0.012742219198747084,53128.125,26.74,2.85,0.53,40.59,1.17,1,0.09551142233957066,0.14828045718407382
