mod_num,time_to_create,n_yes_train,n_no_train,n_yes_test,n_no_test,ntrees,max_depth,min_rows,mtries,min_split_improvement,sample_rate,nbins,binomial_double_trees,seed,balance_classes,col_sample_rate_per_tree,r_2,mse,gini,auc,threshold_max_f1,sensitivity_max_f1,specificity_max_f1,precision_max_f1,accuracy_max_f1,threshold_max_accuracy,sensitivity_max_accuracy,specificity_max_accuracy,precision_max_accuracy,accuracy_max_accuracy,threshold_95_specificity,sensitivity_95_specificity,specificity_95_specificity,precision_95_specificity,accuracy_95_specificity,threshold_98_specificity,sensitivity_98_specificity,specificity_98_specificity,precision_98_specificity,accuracy_98_specificity
1,1.3229999999748543,69,159,21,45,25,3,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.06995345961485633,0.23250935021666505,0.6906446540880504,0.8453223270440252,0.259411229160505,0.9523809523809523,0.5111111111111111,0.47619047619047616,0.6515151515151515,0.353226045968289,0.42857142857142855,0.9333333333333333,0.75,0.7727272727272727,0.395757156280962,0.19047619047619047,0.9555555555555556,0.6666666666666666,0.7121212121212122,0.5770773282619576,0.09523809523809523,1,1,0.7121212121212122
2,1.4010000000707805,69,159,21,45,50,3,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.058758141612221704,0.23530815221337326,0.7161163522012579,0.858058176100629,0.274296416690526,0.8571428571428571,0.6,0.5,0.6818181818181818,0.35499144926109,0.42857142857142855,0.9111111111111111,0.6923076923076923,0.7575757575757576,0.38485976935805977,0.19047619047619047,0.9555555555555556,0.6666666666666666,0.7121212121212122,0.537840668303571,0.09523809523809523,1,1,0.7121212121212122
3,2.3850000000093132,69,159,21,45,100,3,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.05913469414689776,0.23521401500479475,0.7224842767295598,0.8612421383647799,0.270525386716889,0.9047619047619048,0.6,0.5135135135135135,0.696969696969697,0.339051206280693,0.42857142857142855,0.8888888888888888,0.6428571428571429,0.7424242424242424,0.37159867867773055,0.19047619047619047,0.9555555555555556,0.6666666666666666,0.7121212121212122,0.4871131667420309,0.14285714285714285,1,1,0.7272727272727273
4,4.402999999932945,69,159,21,45,150,3,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.05664657712254206,0.23583603814823487,0.7147798742138363,0.8573899371069181,0.273556375993247,0.9047619047619048,0.6,0.5135135135135135,0.696969696969697,0.507618872068398,0.14285714285714285,1,1,0.7272727272727273,0.3774920997358435,0.19047619047619047,0.9555555555555556,0.6666666666666666,0.7121212121212122,0.507618872068398,0.14285714285714285,1,1,0.7272727272727273
5,4.378999999957159,69,159,21,45,200,3,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.055046320269150684,0.2362360984301727,0.7149371069182391,0.8574685534591195,0.252821509631218,0.9523809523809523,0.5333333333333333,0.4878048780487805,0.6666666666666666,0.487500362180113,0.14285714285714285,1,1,0.7272727272727273,0.37864008198429927,0.19047619047619047,0.9555555555555556,0.6666666666666666,0.7121212121212122,0.48750036218011267,0.14285714285714285,1,1,0.7272727272727273
6,6.407000000006519,69,159,21,45,300,3,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.059488942096298736,0.2351254538877385,0.7113207547169813,0.8556603773584907,0.276198862645384,0.8571428571428571,0.6,0.5,0.6818181818181818,0.489108904876852,0.14285714285714285,1,1,0.7272727272727273,0.38223628485589434,0.19047619047619047,0.9555555555555556,0.6666666666666666,0.7121212121212122,0.48910890487685166,0.14285714285714285,1,1,0.7272727272727273
7,8.47199999995064,69,159,21,45,500,3,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.06360505794411964,0.23409643503799682,0.7033805031446538,0.8516902515723269,0.282037312415736,0.8571428571428571,0.6,0.5,0.6818181818181818,0.482395102170205,0.14285714285714285,1,1,0.7272727272727273,0.3831209078134277,0.19047619047619047,0.9555555555555556,0.6666666666666666,0.7121212121212122,0.4823951021702051,0.14285714285714285,1,1,0.7272727272727273
8,10.478000000002794,69,159,21,45,1000,3,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.06483877340764921,0.23378800920302867,0.7000786163522013,0.8500393081761006,0.28326853008283,0.8571428571428571,0.6222222222222222,0.5142857142857142,0.696969696969697,0.492247406869706,0.14285714285714285,1,1,0.7272727272727273,0.38268905294862215,0.19047619047619047,0.9555555555555556,0.6666666666666666,0.7121212121212122,0.4922474068697058,0.14285714285714285,1,1,0.7272727272727273
9,1.3200000000651926,69,159,21,45,25,7,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.387698166865574,0.15307395401912122,0.8611635220125786,0.9305817610062893,0.418388813688208,0.5238095238095238,0.9777777777777777,0.9166666666666666,0.8333333333333334,0.457046475731624,0.47619047619047616,1,1,0.8333333333333334,0.3950946663329261,0.5238095238095238,0.9555555555555556,0.8461538461538461,0.8181818181818182,0.45704647573162366,0.47619047619047616,1,1,0.8333333333333334
10,1.318000000086613,69,159,21,45,50,7,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.42657274575120474,0.14335540480232456,0.9158805031446542,0.9579402515723271,0.385210076053769,0.5238095238095238,0.9777777777777777,0.9166666666666666,0.8333333333333334,0.385210076053769,0.5238095238095238,0.9777777777777777,0.9166666666666666,0.8333333333333334,0.3680081751792337,0.5238095238095238,0.9555555555555556,0.8461538461538461,0.8181818181818182,0.5322955129855699,0.14285714285714285,1,1,0.7272727272727273
