mod_num,time_to_create,ntrees,max_depth,min_rows,mtries,min_split_improvement,sample_rate,nbins,col_sample_rate_per_tree,r_2,r_2_test,mae_test,mse_test
1,2.640000000001237,50,3,1,4,1e-4,0.632,4,0.8,0.30323237514774315,0.379384102424154,0.38637660719355366,0.24739074457087765
2,3.0599999999994907,100,3,1,4,1e-4,0.632,4,0.8,0.29771288401346274,0.3700261722506387,0.38755598002721686,0.2481183011134185
3,2.9899999999997817,50,7,1,4,1e-4,0.632,4,0.8,0.4587900753513302,0.5554926712901284,0.3174972490980845,0.1751138749157323
4,3.25,100,7,1,4,1e-4,0.632,4,0.8,0.43570271679111217,0.5449023060574139,0.3179699254350111,0.17859901487487218
5,3.0100000000002183,50,10,1,4,1e-4,0.632,4,0.8,0.5075113966981748,0.6041275642899078,0.30156723009889796,0.16251730687168414
6,3.280000000000655,100,10,1,4,1e-4,0.632,4,0.8,0.48605427613003926,0.5843582117938727,0.30344842623282314,0.16706376124399522
7,3.069999999999709,50,15,1,4,1e-4,0.632,4,0.8,0.5217102854982976,0.6146451229396198,0.2981889714137713,0.15925819433732372
8,3.2999999999992724,100,15,1,4,1e-4,0.632,4,0.8,0.50115336327254,0.5889436677114193,0.30284243566145563,0.1653114767960495
9,3.109999999998763,50,20,1,4,1e-4,0.632,4,0.8,0.5219828303620372,0.614099658530622,0.29851645200210714,0.1595405060379104
10,4.150000000001455,100,20,1,4,1e-4,0.632,4,0.8,0.5016580659926786,0.5880037577975563,0.30313266372345266,0.16586380947316431
11,1.75,50,3,1,7,1e-4,0.632,4,0.8,0.2875855375538784,0.34880550869176974,0.39383907738179336,0.25074581310388255
12,3.0799999999999272,100,3,1,7,1e-4,0.632,4,0.8,0.3018141287960827,0.3508444667624241,0.3930033132668192,0.2503964758971976
13,3.1200000000008004,50,7,1,7,1e-4,0.632,4,0.8,0.35711564515760563,0.5017228553882824,0.3200735165414313,0.18615235879554765
14,3.2600000000002183,100,7,1,7,1e-4,0.632,4,0.8,0.39573318931009405,0.5088883185770507,0.3178686038341126,0.18397482500681192
15,3.0799999999999272,50,10,1,7,1e-4,0.632,4,0.8,0.3944971276956619,0.5069540708162825,0.31179669519415343,0.1823845896234826
16,3.3099999999994907,100,10,1,7,1e-4,0.632,4,0.8,0.4298039284800613,0.5193285677437958,0.30872327845889386,0.17841608423973987
17,3.1200000000008004,50,15,1,7,1e-4,0.632,4,0.8,0.41968530887816613,0.5139519998094645,0.3077961260588648,0.17932965482701735
18,3.430000000000291,100,15,1,7,1e-4,0.632,4,0.8,0.44749637976229784,0.5254933872002749,0.30532068709476007,0.17602304145812028
19,3.1200000000008004,50,20,1,7,1e-4,0.632,4,0.8,0.41942271641532824,0.5134015479191559,0.308173870035414,0.17958477855387922
20,3.5,100,20,1,7,1e-4,0.632,4,0.8,0.44742914667685685,0.5252249718611812,0.30544162555163373,0.17613430590292897
21,1.7600000000002183,50,3,1,4,0.001,0.632,4,0.8,0.30323237514774315,0.379384102424154,0.38637660719355366,0.24739074457087765
22,3.0799999999999272,100,3,1,4,0.001,0.632,4,0.8,0.29771288401346274,0.3700261722506387,0.38755598002721686,0.2481183011134185
23,2.9899999999997817,50,7,1,4,0.001,0.632,4,0.8,0.4587900753513302,0.5554926712901284,0.3174972490980845,0.1751138749157323
24,3.1900000000005093,100,7,1,4,0.001,0.632,4,0.8,0.43570271679111217,0.5449023060574139,0.3179699254350111,0.17859901487487218
25,3.0100000000002183,50,10,1,4,0.001,0.632,4,0.8,0.5074512556260922,0.6040668094630857,0.30158590838769245,0.162530205476102
26,3.3100000000013097,100,10,1,4,0.001,0.632,4,0.8,0.4856127302584563,0.5840714427209488,0.30360653214309996,0.16724310260348588
27,3.0799999999999272,50,15,1,4,0.001,0.632,4,0.8,0.5219943894449669,0.6143494602310987,0.298585518786746,0.15945453194720027
28,3.3399999999983265,100,15,1,4,0.001,0.632,4,0.8,0.5020237440728674,0.5889067078513013,0.303163208913411,0.16543277681705992
29,3.1199999999989814,50,20,1,4,0.001,0.632,4,0.8,0.5223619324551703,0.6140311948327399,0.2987300022183799,0.15965194250816148
30,3.4099999999998545,100,20,1,4,0.001,0.632,4,0.8,0.5026066351932448,0.5880889371384068,0.30341989924728713,0.16593848860302204
31,1.7300000000013824,50,3,1,7,0.001,0.632,4,0.8,0.2875855375538784,0.34880550869176974,0.39383907738179336,0.25074581310388255
32,3.139999999999418,100,3,1,7,0.001,0.632,4,0.8,0.3018141287960827,0.3508444667624241,0.3930033132668192,0.2503964758971976
33,3.0500000000010914,50,7,1,7,0.001,0.632,4,0.8,0.35711564515760563,0.5017228553882824,0.3200735165414313,0.18615235879554765
34,3.2700000000004366,100,7,1,7,0.001,0.632,4,0.8,0.39573318931009405,0.5088883185770507,0.3178686038341126,0.18397482500681192
35,3.1299999999991996,50,10,1,7,0.001,0.632,4,0.8,0.3946964141715047,0.5068856334580976,0.31188040864082484,0.18243996493455814
36,3.3400000000001455,100,10,1,7,0.001,0.632,4,0.8,0.42990681684334286,0.5192911317534625,0.30882863861359117,0.17844538613825306
37,3.070000000001528,50,15,1,7,0.001,0.632,4,0.8,0.42002517535343875,0.5138737376174367,0.3080362974164764,0.1793984732717124
38,3.430000000000291,100,15,1,7,0.001,0.632,4,0.8,0.44769088003403423,0.5254557892952905,0.30544021485656236,0.1760568251740002
39,3.140000000001237,50,20,1,7,0.001,0.632,4,0.8,0.41976315137461373,0.5133234746453366,0.30840956374386,0.17965351653817596
40,3.4400000000005093,100,20,1,7,0.001,0.632,4,0.8,0.4476237436105239,0.525187521469433,0.3055590666865175,0.17616793164611755
41,1.7200000000011642,50,3,1,4,1e-4,0.632,20,0.8,0.3032415720442787,0.37875214513198185,0.3864681929323648,0.24728774201494066
42,3.0599999999994907,100,3,1,4,1e-4,0.632,20,0.8,0.2969060111304507,0.3699964238724347,0.38739190600191037,0.2475479423027298
43,3,50,7,1,4,1e-4,0.632,20,0.8,0.44753723985188576,0.5542027987851808,0.3157575391508447,0.17413046799433765
44,3.25,100,7,1,4,1e-4,0.632,20,0.8,0.43048467118439593,0.5454010375536398,0.31606132574125106,0.178372430699153
