mod_num,time_to_create,n_yes_train,n_no_train,n_yes_test,n_no_test,ntrees,max_depth,min_rows,distribution,learn_rate,learn_rate_annealing,min_split_improvement,sample_rate,nbins,col_sample_rate_per_tree,histogram_type,gini,auc,threshold_max_f1,sensitivity_max_f1,specificity_max_f1,precision_max_f1,accuracy_max_f1,threshold_98_specificity,sensitivity_98_specificity,specificity_98_specificity,precision_98_specificity,accuracy_98_specificity
1,3.899999999997817,88,151,19,55,100,1,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.7790487658037326,0.8895243829018663,0.403750502728907,0.5789473684210527,0.8545454545454545,0.5789473684210527,0.7837837837837838,0.7363561295077813,0.10526315789473684,1,1,0.7702702702702703
2,7.4099999999998545,88,151,19,55,300,1,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.8265352197471403,0.9132676098735701,0.399881076762468,0.7368421052631579,0.7636363636363637,0.5185185185185185,0.7567567567567568,0.787632716577351,0.10526315789473684,0.9818181818181818,0.6666666666666666,0.7567567567567568
3,3.6899999999986903,88,151,19,55,100,3,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9960866947621916,0.9980433473810958,0.291642174424972,0.9473684210526315,0.6545454545454545,0.4864864864864865,0.7297297297297297,0.8330040898978814,0.10526315789473684,0.9818181818181818,0.6666666666666666,0.7567567567567568
4,8.290000000000873,88,151,19,55,300,3,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9998494882600844,0.9999247441300422,0.359411098899028,0.8421052631578947,0.7818181818181819,0.5714285714285714,0.7972972972972973,0.8649631044228725,0.21052631578947367,0.9818181818181818,0.8,0.7837837837837838
5,5.420000000001892,88,151,19,55,100,7,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.302254079102556,0.8421052631578947,0.8545454545454545,0.6666666666666666,0.8513513513513513,0.9055462956559494,0.21052631578947367,0.9818181818181818,0.8,0.7837837837837838
6,12.390000000003056,88,151,19,55,300,7,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.263012546063818,0.8421052631578947,0.8363636363636363,0.64,0.8378378378378378,0.9619880436234666,0.15789473684210525,0.9818181818181818,0.75,0.7702702702702703
7,7.200000000000728,88,151,19,55,100,10,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.285868640154185,0.8421052631578947,0.8545454545454545,0.6666666666666666,0.8513513513513513,0.9151599943131257,0.3157894736842105,0.9818181818181818,0.8571428571428571,0.8108108108108109
8,16.459999999999127,88,151,19,55,300,10,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.264540064429119,0.8421052631578947,0.8545454545454545,0.6666666666666666,0.8513513513513513,0.9783276955826853,0.15789473684210525,0.9818181818181818,0.75,0.7702702702702703
9,3.4099999999998545,88,151,19,55,100,1,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.5576459963877183,0.7788229981938591,0.343577420341732,0.9473684210526315,0.34545454545454546,0.3333333333333333,0.5,Inf,0.15789473684210525,0.9454545454545454,0.5,0.7432432432432432
10,6.710000000002765,88,151,19,55,300,1,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.5928657435279951,0.7964328717639976,0.381155633252902,0.5789473684210527,0.8363636363636363,0.55,0.7702702702702703,Inf,0.15789473684210525,0.9454545454545454,0.5,0.7432432432432432
11,3.6299999999973807,88,151,19,55,100,3,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9331727874774234,0.9665863937387117,0.364734096986369,0.7894736842105263,0.7636363636363637,0.5357142857142857,0.7702702702702703,0.6071753231857704,0.05263157894736842,0.9818181818181818,0.5,0.7432432432432432
12,8.159999999999854,88,151,19,55,300,3,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9489765201685731,0.9744882600842866,0.364459487125338,0.8421052631578947,0.7636363636363637,0.5517241379310345,0.7837837837837838,0.6766323510547294,0.05263157894736842,0.9818181818181818,0.5,0.7432432432432432
13,5.6599999999998545,88,151,19,55,100,7,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.376695217399005,0.8421052631578947,0.8363636363636363,0.64,0.8378378378378378,0.6055106923448076,0.21052631578947367,0.9818181818181818,0.8,0.7837837837837838
14,12.409999999999854,88,151,19,55,300,7,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.355703285654381,0.8421052631578947,0.8363636363636363,0.64,0.8378378378378378,0.7205319456860967,0.15789473684210525,0.9818181818181818,0.75,0.7702702702702703
15,6.56000000000131,88,151,19,55,100,10,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.386107307139926,0.8421052631578947,0.8727272727272727,0.6956521739130435,0.8648648648648649,0.6002677373383604,0.3157894736842105,0.9818181818181818,0.8571428571428571,0.8108108108108109
16,16.970000000001164,88,151,19,55,300,10,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.392603599103182,0.8421052631578947,0.8727272727272727,0.6956521739130435,0.8648648648648649,0.7176491354917077,0.21052631578947367,0.9818181818181818,0.8,0.7837837837837838
17,3.529999999998836,88,151,19,55,100,1,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.5030102347983143,0.7515051173991572,0.365139638986258,1,0.21818181818181817,0.3064516129032258,0.4189189189189189,Inf,0.05263157894736842,0.9636363636363636,0.3333333333333333,0.7297297297297297
18,7.5,88,151,19,55,300,1,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.5009030704394941,0.7504515352197471,0.363584116118225,1,0.2,0.30158730158730157,0.40540540540540543,Inf,0.05263157894736842,0.9636363636363636,0.3333333333333333,0.7297297297297297
19,3.7299999999995634,88,151,19,55,100,3,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.8979530403371461,0.948976520168573,0.366468841467144,0.8947368421052632,0.6727272727272727,0.4857142857142857,0.7297297297297297,0.4010883374661239,0.05263157894736842,0.9818181818181818,0.5,0.7432432432432432
20,9.279999999998836,88,151,19,55,300,3,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9002107164358821,0.9501053582179411,0.366049807024036,0.8421052631578947,0.7272727272727273,0.5161290322580645,0.7567567567567568,0.41707998879531466,0.05263157894736842,0.9818181818181818,0.5,0.7432432432432432
21,5.8400000000001455,88,151,19,55,100,7,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.371007847679964,0.8421052631578947,0.8545454545454545,0.6666666666666666,0.8513513513513513,0.3987910832111392,0.2631578947368421,0.9818181818181818,0.8333333333333334,0.7972972972972973
22,13.840000000000146,88,151,19,55,300,7,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.371185978310861,0.8421052631578947,0.8363636363636363,0.64,0.8378378378378378,0.4142807005606925,0.21052631578947367,0.9818181818181818,0.8,0.7837837837837838
23,7.579999999998108,88,151,19,55,100,10,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.372874657169249,0.8421052631578947,0.8727272727272727,0.6956521739130435,0.8648648648648649,0.3990443700532248,0.2631578947368421,0.9818181818181818,0.8333333333333334,0.7972972972972973
24,17.209999999999127,88,151,19,55,300,10,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.373363199640608,0.8421052631578947,0.8545454545454545,0.6666666666666666,0.8513513513513513,0.41916066913019373,0.21052631578947367,0.9818181818181818,0.8,0.7837837837837838
25,3.5,88,151,19,55,100,1,1,bernoulli,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.5340156532209512,0.7670078266104756,0.349347842035812,0.9473684210526315,0.34545454545454546,0.3333333333333333,0.5,Inf,0.15789473684210525,0.9454545454545454,0.5,0.7432432432432432
26,3.5099999999983993,88,151,19,55,300,1,1,bernoulli,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.5340156532209512,0.7670078266104756,0.349347909684574,0.9473684210526315,0.34545454545454546,0.3333333333333333,0.5,Inf,0.15789473684210525,0.9454545454545454,0.5,0.7432432432432432
27,3.6300000000010186,88,151,19,55,100,3,1,bernoulli,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.8898254063816979,0.944912703190849,0.386203792488261,0.5789473684210527,0.8181818181818182,0.5238095238095238,0.7567567567567568,0.5736472775959146,0.15789473684210525,0.9818181818181818,0.75,0.7702702702702703
28,3.75,88,151,19,55,300,3,1,bernoulli,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.8898254063816979,0.944912703190849,0.386204090742064,0.5789473684210527,0.8181818181818182,0.5238095238095238,0.7567567567567568,0.5736476263047368,0.15789473684210525,0.9818181818181818,0.75,0.7702702702702703
29,6.319999999999709,88,151,19,55,100,7,1,bernoulli,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,1,1,0.36497026081335,0.7894736842105263,0.8363636363636363,0.625,0.8243243243243243,0.565822608582957,0.3157894736842105,0.9818181818181818,0.8571428571428571,0.8108108108108109
30,5.610000000000582,88,151,19,55,300,7,1,bernoulli,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,1,1,0.364970422000291,0.7894736842105263,0.8363636363636363,0.625,0.8243243243243243,0.5658228007687212,0.3157894736842105,0.9818181818181818,0.8571428571428571,0.8108108108108109
31,7.069999999999709,88,151,19,55,100,10,1,bernoulli,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,1,1,0.373962304352011,0.8421052631578947,0.8363636363636363,0.64,0.8378378378378378,0.5675169178141147,0.3684210526315789,0.9818181818181818,0.875,0.8243243243243243
32,7.299999999999272,88,151,19,55,300,10,1,bernoulli,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,1,1,0.373962460359182,0.8421052631578947,0.8363636363636363,0.64,0.8378378378378378,0.5675171533926109,0.3684210526315789,0.9818181818181818,0.875,0.8243243243243243
33,3.4500000000007276,88,151,19,55,100,1,1,bernoulli,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.5042143287176399,0.75210716435882,0.364177684763312,1,0.21818181818181817,0.3064516129032258,0.4189189189189189,Inf,0.15789473684210525,0.9454545454545454,0.5,0.7432432432432432
34,3.459999999999127,88,151,19,55,300,1,1,bernoulli,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.5042143287176399,0.75210716435882,0.364177684763312,1,0.21818181818181817,0.3064516129032258,0.4189189189189189,Inf,0.15789473684210525,0.9454545454545454,0.5,0.7432432432432432
35,3.639999999999418,88,151,19,55,100,3,1,bernoulli,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.8491872366044553,0.9245936183022276,0.372802533982138,0.5789473684210527,0.8363636363636363,0.55,0.7702702702702703,0.41661783206375114,0.15789473684210525,0.9818181818181818,0.75,0.7702702702702703
36,3.6199999999989814,88,151,19,55,300,3,1,bernoulli,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.8491872366044553,0.9245936183022276,0.372802533982138,0.5789473684210527,0.8363636363636363,0.55,0.7702702702702703,0.41661783206375114,0.15789473684210525,0.9818181818181818,0.75,0.7702702702702703
37,5.460000000002765,88,151,19,55,100,7,1,bernoulli,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,1,1,0.377932279995392,0.7894736842105263,0.8909090909090909,0.7142857142857143,0.8648648648648649,0.42431879641019027,0.21052631578947367,0.9818181818181818,0.8,0.7837837837837838
38,5.470000000001164,88,151,19,55,300,7,1,bernoulli,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,1,1,0.377932279995392,0.7894736842105263,0.8909090909090909,0.7142857142857143,0.8648648648648649,0.42431879641019027,0.21052631578947367,0.9818181818181818,0.8,0.7837837837837838
39,6.040000000000873,88,151,19,55,100,10,1,bernoulli,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,1,1,0.374480224952852,0.8421052631578947,0.8727272727272727,0.6956521739130435,0.8648648648648649,0.42198765752942097,0.3157894736842105,0.9818181818181818,0.8571428571428571,0.8108108108108109
