mod_num,time_to_create,ntrees,max_depth,min_rows,mtries,min_split_improvement,sample_rate,nbins,col_sample_rate_per_tree,r_2,r_2_test,mae_test,mse_test
1,2.740000000000691,50,3,1,4,1e-4,0.632,4,0.8,0.34091710647934426,0.32607115135220344,0.4413903658455342,0.30666054749060584
2,3.1700000000000728,100,3,1,4,1e-4,0.632,4,0.8,0.3518236432275592,0.32878508310583,0.4448349970121723,0.30543339806567715
3,3.1099999999996726,50,7,1,4,1e-4,0.632,4,0.8,0.5174064193328177,0.46108986973351507,0.37287134393061017,0.23951592821425954
4,3.369999999999891,100,7,1,4,1e-4,0.632,4,0.8,0.5061014281347773,0.4678121387240519,0.3740153443380615,0.24045049121693804
5,3.259999999999309,50,10,1,4,1e-4,0.632,4,0.8,0.5715107456372037,0.5032739390617732,0.3434970153223906,0.2184726660448339
6,4.440000000000509,100,10,1,4,1e-4,0.632,4,0.8,0.5609496803646759,0.5178007021806559,0.34138614703990866,0.216800918831304
7,3.350000000000364,50,15,1,4,1e-4,0.632,4,0.8,0.6067523180620786,0.5659363863875329,0.31240612012829716,0.1982345393505757
8,3.5799999999999272,100,15,1,4,1e-4,0.632,4,0.8,0.5990334844258351,0.569672402422845,0.3139695234614903,0.1998021000688712
9,3.2899999999999636,50,20,1,4,1e-4,0.632,4,0.8,0.6116343791978045,0.5762031117717321,0.30746161771246666,0.19306131721575698
10,3.7200000000002547,100,20,1,4,1e-4,0.632,4,0.8,0.6075181233250592,0.5796251632607732,0.307897430479302,0.19415373159443222
11,1.8599999999996726,50,3,1,7,1e-4,0.632,4,0.8,0.34865869408870875,0.3331542164068413,0.44428846056578347,0.29462099116173074
12,4.029999999999745,100,3,1,7,1e-4,0.632,4,0.8,0.352086562964691,0.3290243442046632,0.44695655599934636,0.2975729150132581
13,3.149999999999636,50,7,1,7,1e-4,0.632,4,0.8,0.5319264531520208,0.5051025782205035,0.3611619518519532,0.22132049410033644
14,3.4399999999996,100,7,1,7,1e-4,0.632,4,0.8,0.5293382477465411,0.5016776664558471,0.36473799355005,0.2247486098640188
15,3.25,50,10,1,7,1e-4,0.632,4,0.8,0.5638693027991482,0.550687122482757,0.32877798782733053,0.19854998976787175
16,3.7100000000000364,100,10,1,7,1e-4,0.632,4,0.8,0.5665965911527348,0.5481396964747167,0.3304112174260462,0.2020123047721229
17,3.300000000000182,50,15,1,7,1e-4,0.632,4,0.8,0.5924874477448565,0.5930061575279758,0.3013443898847696,0.17977715748072728
18,3.9099999999998545,100,15,1,7,1e-4,0.632,4,0.8,0.5950471916756632,0.5885686848610103,0.30410830457832194,0.18283281418369743
19,3.4200000000000728,50,20,1,7,1e-4,0.632,4,0.8,0.5964980795062658,0.599811257911617,0.29834213789690933,0.17682290853712043
20,3.8900000000003274,100,20,1,7,1e-4,0.632,4,0.8,0.6008897130768656,0.59703800283521,0.2988421945193662,0.17845266564035528
21,1.8699999999998909,50,3,1,4,0.001,0.632,4,0.8,0.34091710647934426,0.32607115135220344,0.4413903658455342,0.30666054749060584
22,3.240000000000691,100,3,1,4,0.001,0.632,4,0.8,0.3518236432275592,0.32878508310583,0.4448349970121723,0.30543339806567715
23,3.160000000000764,50,7,1,4,0.001,0.632,4,0.8,0.5190345042378159,0.464381929321279,0.3716448665245123,0.2381106164292775
24,3.3900000000003274,100,7,1,4,0.001,0.632,4,0.8,0.5069583188085299,0.46938773397886113,0.3733805872277625,0.23974942971447713
25,3.3900000000003274,50,10,1,4,0.001,0.632,4,0.8,0.5720978715267697,0.5046077217562632,0.3430677929269441,0.21832027044568195
26,3.600000000000364,100,10,1,4,0.001,0.632,4,0.8,0.5616152638227785,0.5186055205194822,0.34112618399571654,0.2166008951955609
27,3.360000000000582,50,15,1,4,0.001,0.632,4,0.8,0.608727709877215,0.5681593934634681,0.31182676840654083,0.19772074963204014
28,3.6700000000000728,100,15,1,4,0.001,0.632,4,0.8,0.6002202489499839,0.5711527091242512,0.31311096976140773,0.1992559039183906
29,3.380000000000109,50,20,1,4,0.001,0.632,4,0.8,0.6125769372402202,0.5762205466018604,0.3071912052243028,0.19388336783032006
30,5.140000000000327,100,20,1,4,0.001,0.632,4,0.8,0.6069299607793377,0.5789344616131272,0.3082923684272101,0.19486385633152006
