mod_num,time_to_create,ntrees,max_depth,min_rows,distribution,learn_rate,learn_rate_annealing,min_split_improvement,sample_rate,nbins,col_sample_rate_per_tree,histogram_type,r_2,r_2_test,mae_test,mse_test
1,2.551000000001295,100,1,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.6250148709885519,0.5007817830373631,0.293146915691639,0.16069201010074055
2,5.427999999999884,300,1,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.7229658397978126,0.601217594241579,0.2604312042229535,0.13917440133171602
3,2.3810000000012224,100,3,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9247248154235663,0.7956466264197803,0.1982553458499285,0.09804685224820951
4,6.390999999999622,300,3,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9561142938302318,0.7987479278133656,0.19874619478182115,0.09694118167409661
5,3.334000000000742,100,7,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9904067378074307,0.7891724475009696,0.2067301784444972,0.09809636559105982
6,10.471999999999753,300,7,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9983109304121172,0.7907357941966144,0.20543841424203854,0.09856472856233855
7,4.380999999999403,100,10,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9922421734749459,0.8050881618517385,0.19345594755704204,0.08600027140551236
8,12.52100000000064,300,10,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9990096965709251,0.8059808736712344,0.19269709879624097,0.08737739407474483
9,2.342000000000553,100,1,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.22694005299647935,0.1684830635738912,0.39676782714592407,0.250170571353667
10,5.385000000000218,300,1,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.3078666654119937,0.2369375781731935,0.3774022810068303,0.23215956471518537
11,2.3410000000003492,100,3,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.5508035667637992,0.5076844096237774,0.3153114062066899,0.1653832499097186
12,6.379000000000815,300,3,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.6818928868842731,0.624385422068191,0.27656732123990924,0.13696582567172944
13,3.397000000000844,100,7,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.6470906851889059,0.5451582006774855,0.3102439473667679,0.15370941767621837
14,10.463999999999942,300,7,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.7879554414982364,0.6656082758696971,0.2695454904315012,0.12419471794348161
15,4.390999999999622,100,10,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.6530591452425909,0.5412769421257502,0.31203394431075576,0.1540919261882796
16,12.50799999999981,300,10,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.79435998913481,0.6645404526654096,0.2715878210301193,0.12441434653084053
17,1.3770000000004075,100,1,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.028909180942426227,-0.013810957944248248,0.444038808509278,0.30157192813960837
18,7.507999999999811,300,1,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.04269024732524607,-1.68166188517338e-4,0.4406797124766446,0.29759891802052996
19,3.433999999999287,100,3,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.08142165165483106,0.04333127909432233,0.43183868154360355,0.2858450631892067
20,7.471999999999753,300,3,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.11928438887803217,0.08229981229290984,0.42286999535420094,0.2751158978292435
21,3.371999999999389,100,7,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.10148500921940717,0.05510755502986786,0.42957128272699424,0.2822996335916525
22,10.416999999999462,300,7,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.1484654659040715,0.09940487196957903,0.41951260664658585,0.27002789114161163
23,3.3100000000013097,100,10,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.1024301997163991,0.0554475739866469,0.4296020147010152,0.2823411425557227
24,9.389999999999418,300,10,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.1498340638253982,0.10029777447025312,0.419448154768488,0.2699204683320664
25,1.2660000000014406,100,1,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.20454533496805616,0.14876043040554798,0.40159227524506863,0.2542331851555492
26,1.2819999999992433,300,1,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.20454669265418257,0.1487608000318008,0.4015921715692339,0.2542330773619347
27,2.2659999999996217,100,3,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.5016741010570505,0.4680806326361052,0.3317274658738055,0.17676574320554228
28,2.2619999999988067,300,3,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.5016768195616907,0.4680830679614022,0.3317267846682751,0.17676509130651014
29,3.3000000000010914,100,7,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.6102937066672314,0.497505323829738,0.3263020176285653,0.16538540262974505
30,3.3140000000003056,300,7,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.6102966210523724,0.49750733708343853,0.32630151206837804,0.16538493113931874
31,3.5340000000014697,100,10,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.6080693225584051,0.49410031099067897,0.32479545800400755,0.16395398443091358
32,3.287000000000262,300,10,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.6080722892999029,0.49410233845308094,0.32479492680071437,0.16395348956595035
33,1.253999999998996,100,1,1,gaussian,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.048409581307858995,0.004791326219738545,0.439138509898242,0.29580534257859475
34,1.2489999999997963,300,1,1,gaussian,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.048409581307858995,0.004791326219738545,0.439138509898242,0.29580534257859475
35,2.279999999998836,100,3,1,gaussian,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.13704404115286706,0.10063625322016456,0.41975211756004294,0.2694914601925819
36,1.2659999999996217,300,3,1,gaussian,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.13704404115286706,0.10063625322016456,0.41975211756004294,0.2694914601925819
37,2.2729999999992287,100,7,1,gaussian,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.17087760707159538,0.11522773998896818,0.41728609118017157,0.265926331520728
38,2.268000000000029,300,7,1,gaussian,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.17087760707159538,0.11522773998896818,0.41728609118017157,0.265926331520728
39,3.2809999999990396,100,10,1,gaussian,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.17099708558162163,0.1127176285026088,0.4180183540927055,0.2663471480519557
40,3.2929999999996653,300,10,1,gaussian,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.17099708558162163,0.1127176285026088,0.4180183540927055,0.2663471480519557
41,1.282999999999447,100,1,1,gaussian,0.001,0.9,1e-4,0.632,4,0.8,RoundRobin,0.0052112275296799515,-0.037190047415210925,0.4496348906723894,0.3084448330393767
42,1.2590000000000146,300,1,1,gaussian,0.001,0.9,1e-4,0.632,4,0.8,RoundRobin,0.0052112275296799515,-0.037190047415210925,0.4496348906723894,0.3084448330393767
43,1.2590000000000146,100,3,1,gaussian,0.001,0.9,1e-4,0.632,4,0.8,RoundRobin,0.014704163044840346,-0.026066173359854172,0.44740749980550676,0.30532276763124666
44,1.2520000000004075,300,3,1,gaussian,0.001,0.9,1e-4,0.632,4,0.8,RoundRobin,0.014704163044840346,-0.026066173359854172,0.44740749980550676,0.30532276763124666
45,2.268000000000029,100,7,1,gaussian,0.001,0.9,1e-4,0.632,4,0.8,RoundRobin,0.018534921186890818,-0.024752145693582417,0.4471294185079279,0.3048966049904253
46,2.2849999999998545,300,7,1,gaussian,0.001,0.9,1e-4,0.632,4,0.8,RoundRobin,0.018534921186890818,-0.024752145693582417,0.4471294185079279,0.3048966049904253
47,2.2730000000010477,100,10,1,gaussian,0.001,0.9,1e-4,0.632,4,0.8,RoundRobin,0.018735258192694948,-0.024756258653596985,0.44720496115984565,0.30492565621040646
48,2.279000000000451,300,10,1,gaussian,0.001,0.9,1e-4,0.632,4,0.8,RoundRobin,0.018735258192694948,-0.024756258653596985,0.44720496115984565,0.30492565621040646
49,1.2579999999998108,100,1,1,gaussian,0.05,0.5,1e-4,0.632,4,0.8,RoundRobin,0.08311403712927368,0.033603465361026874,0.43001814309034736,0.28565161664413996
50,1.27599999999984,300,1,1,gaussian,0.05,0.5,1e-4,0.632,4,0.8,RoundRobin,0.08311403712927368,0.033603465361026874,0.43001814309034736,0.28565161664413996
51,1.2740000000012515,100,3,1,gaussian,0.05,0.5,1e-4,0.632,4,0.8,RoundRobin,0.21752947377747234,0.19664307726874597,0.40178460461248316,0.2428834611656027
52,1.2590000000000146,300,3,1,gaussian,0.05,0.5,1e-4,0.632,4,0.8,RoundRobin,0.21752947377747234,0.19664307726874597,0.40178460461248316,0.2428834611656027
53,1.3009999999994761,100,7,1,gaussian,0.05,0.5,1e-4,0.632,4,0.8,RoundRobin,0.285635115816099,0.22210205376868986,0.39788420316326745,0.23587694238512008
54,1.2560000000012224,300,7,1,gaussian,0.05,0.5,1e-4,0.632,4,0.8,RoundRobin,0.285635115816099,0.22210205376868986,0.39788420316326745,0.23587694238512008
55,1.2489999999997963,100,10,1,gaussian,0.05,0.5,1e-4,0.632,4,0.8,RoundRobin,0.2880258717940728,0.21991729401315052,0.3996265467714172,0.2367592829226089
56,1.2629999999990105,300,10,1,gaussian,0.05,0.5,1e-4,0.632,4,0.8,RoundRobin,0.2880258717940728,0.21991729401315052,0.3996265467714172,0.2367592829226089
57,1.3120000000017171,100,1,1,gaussian,0.01,0.5,1e-4,0.632,4,0.8,RoundRobin,0.017684177984988225,-0.025990231843626255,0.44663634689310405,0.3047635471322421
58,1.2929999999996653,300,1,1,gaussian,0.01,0.5,1e-4,0.632,4,0.8,RoundRobin,0.017684177984988225,-0.025990231843626255,0.44663634689310405,0.3047635471322421
59,1.2659999999996217,100,3,1,gaussian,0.01,0.5,1e-4,0.632,4,0.8,RoundRobin,0.04897196712659946,0.013113254350475945,0.44013072604164555,0.2939777467365171
60,1.2550000000010186,300,3,1,gaussian,0.01,0.5,1e-4,0.632,4,0.8,RoundRobin,0.04897196712659946,0.013113254350475945,0.44013072604164555,0.2939777467365171
