mod_num,time_to_create,ntrees,max_depth,min_rows,distribution,learn_rate,learn_rate_annealing,min_split_improvement,sample_rate,nbins,col_sample_rate_per_tree,histogram_type,r_2,r_2_test,mae_test,mse_test
1,4.110000000000582,100,1,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.23735082207971392,0.1265729560247646,0.5411398199672472,0.7330773478159727
2,3.850000000000364,300,1,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.2843939181108689,0.14893225332276505,0.5293551914036086,0.7181978052305023
3,3.359999999998763,100,3,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.566548085440995,0.28445417614218427,0.47409324095332656,0.6116338195182063
4,5.8400000000001455,300,3,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.6449104995204111,0.332198719865226,0.4576118749398441,0.5796336896701008
5,5.790000000000873,100,7,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9140859912446304,0.48161390004406035,0.4068851454077966,0.4832107128925198
6,13,300,7,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9606112815006088,0.5047291768944201,0.39740435077842995,0.4714487777400597
7,7.809999999999491,100,10,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9735246804733246,0.5098319344904044,0.39403871957147324,0.47673658643355565
8,20.8700000000008,300,10,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9930240326083855,0.5298938611119826,0.3877792678121699,0.4647399518529485
9,2.470000000001164,100,1,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.09172507094590288,0.05250549916626124,0.5767819024034293,0.7633108582466592
10,3.889999999999418,300,1,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.11959600477659871,0.06740983466452444,0.569873408305824,0.7594131845474466
11,3.360000000000582,100,3,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.2793867588305229,0.16571200582585788,0.5375675185379747,0.6933638290627698
12,5.799999999999272,300,3,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.35612898404668125,0.20290764029201414,0.5197723698031173,0.6721226772940833
13,5.5900000000001455,100,7,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.49371857865343305,0.2776504955828125,0.5006345938480339,0.6192602450145185
14,12.590000000000146,300,7,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.6211752127667287,0.3454118490600583,0.46954336720482004,0.5767525411575968
15,8.260000000000218,100,10,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.5724504080317928,0.307817925131851,0.489185073186715,0.601521982318148
16,19.450000000000728,300,10,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.711026399401091,0.3804335392075725,0.4563739684908488,0.5554477678208058
17,3.149999999999636,100,1,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.012948831293981944,0.006716726862585398,0.5954153804325335,0.7711390510639365
18,3.860000000000582,300,1,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.01893119441178026,0.009580192500425189,0.5942941893387969,0.7709789205922547
19,3.5,100,3,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.038801829957788914,0.024888700288253962,0.5897681676400104,0.7599891120308522
20,5.989999999999782,300,3,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.057538399314174815,0.03644217206324529,0.5859678727069464,0.7543549843038765
21,5.520000000000437,100,7,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.07169953221891423,0.04128164062152795,0.5853943813116232,0.7506365290199026
22,12.480000000001382,300,7,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.10544332691025571,0.061658568551231085,0.5790845770574535,0.7398536255499454
23,7.7299999999995634,100,10,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.08494454192274659,0.0483222235288403,0.5833374933351503,0.7465468250764115
24,20.600000000000364,300,10,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.12470396738053657,0.07149623224159019,0.5761725258151452,0.7340783169336785
25,3.1700000000000728,100,1,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.08422518786992339,0.04622948756290024,0.5793224739693378,0.7660511494396008
26,3.2399999999997817,300,1,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.08422575418380107,0.04622999812682238,0.5793222761363863,0.7660509952616857
27,3.5100000000002183,100,3,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.25242875631180983,0.14566256524998344,0.5444134299453832,0.7034831689815287
28,3.5,300,3,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.2524301996354621,0.14566386950183863,0.5444129388811259,0.7034824336966513
29,5.710000000000946,100,7,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.445694927301015,0.25654678175848267,0.5116410443377576,0.6286247077927186
