date,open,high,low,close,volume
2018-04-27,18.4,19.700001,18.059999,19.5,9194700
2018-04-30,19.51,19.51,18.799999,19.299999,640500
2018-05-01,19.049999,20,19,19.85,656200
2018-05-02,19.950001,19.959999,19.4,19.51,313600
2018-05-03,19.549999,19.65,19.059999,19.440001,401600
2018-05-04,19.469999,19.469999,18.860001,18.879999,362700
2018-05-07,18.889999,19.84,18.799999,19.6,187700
2018-05-08,19.790001,20.98,19.25,20.73,209600
2018-05-09,20.76,21.698999,20.76,21.35,434400
2018-05-10,21.629999,21.676001,20.219999,20.75,276700
2018-05-11,20.91,20.91,20.24,20.51,83400
2018-05-14,20.790001,20.889999,20.299999,20.74,73500
2018-05-15,20.74,20.809999,20.43,20.6,66000
2018-05-16,20.66,20.73,19.9,20,108600
2018-05-17,20.01,20.280001,19.120001,19.459999,82000
2018-05-18,19.43,19.959999,19.219999,19.889999,170900
2018-05-21,20.27,20.27,19.469999,20.030001,110200
2018-05-22,20.280001,20.76,20.24,20.25,328900
2018-05-23,20.450001,20.450001,20.16,20.26,159900
2018-05-24,20.299999,22.629999,20.26,22.23,496300
2018-05-25,22.35,23.659,22.33,22.530001,266800
2018-05-29,22.66,23.370001,22.6,22.780001,344300
2018-05-30,23.1,23.790001,22.559999,22.870001,358400
2018-05-31,23.07,25.374001,23.07,24.92,457200
2018-06-01,25.09,26.93,25.040001,26.27,436800
2018-06-04,26.879999,28.662001,26.414,26.540001,919800
2018-06-05,30.15,32.790001,27.950001,28.950001,2857800
2018-06-06,29.16,29.4,28.110001,28.75,547600
2018-06-07,28.879999,29.158001,28.34,28.450001,447500
2018-06-08,28.33,28.690001,27.540001,27.65,508200
2018-06-11,27.799999,27.986,26.58,27.110001,434300
2018-06-12,27.15,28.26,26.27,26.48,392000
2018-06-13,26.639999,27.5,26.6,27.110001,356800
2018-06-14,27.610001,29.41,27.610001,28.43,662200
2018-06-15,28.309999,30.139999,27.625,30.129999,1181500
2018-06-18,30.110001,32.490002,29.65,32.209999,711000
2018-06-19,31.799999,31.799999,27.059999,28.91,870900
2018-06-20,29.120001,29.392,26.51,27.07,578100
2018-06-21,27.200001,28.030001,25.799999,26.52,434900
2018-06-22,26.57,26.938999,24,24.309999,593100
2018-06-25,23.9,26.93,23.129999,26.92,660800
2018-06-26,27.129999,28.18,26.440001,26.719999,357000
2018-06-27,26.58,27.165001,24.959999,25.040001,315900
2018-06-28,24.98,25,23.705,24.41,349600
2018-06-29,24.6,26.978001,24.440001,25.969999,387700
2018-07-02,25.66,25.940001,24.02,24.360001,380000
2018-07-03,24.549999,25.690001,24.049999,25.299999,253500
2018-07-05,25.48,25.67,24.299999,24.610001,304400
2018-07-06,24.530001,24.629999,23.700001,24.040001,405200
2018-07-09,23.9,24.4,23.299999,23.360001,461800
2018-07-10,23.52,24.1,22.643,23.049999,408600
