ticker,quarter,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio
ABM,2021.3,19.26,0.51,1.92,7.12,NA
ABM,2021.3,19.87,0.52,1.98,7.35,1.47
ABM,2021.2,16.15,0.59,2.15,7.37,1.37
ABM,2021.1,55.22,0.42,1.56,4.84,1.41
ABM,2020.4,0,0.38,1.53,5.43,1.52
ABM,2020.3,0,0.38,1.62,6.39,1.53
ABM,2020.2,0,0.35,1.61,7.81,1.92
ABM,2020.1,17.37,0.38,1.58,11.57,1.47
ABM,2019.4,18.52,0.36,1.52,11.52,1.4
ABM,2019.3,30.15,0.41,1.78,15.73,1.49
ABM,2019.2,27.91,0.37,1.62,12.71,1.52
ABM,2019.1,26.01,0.33,1.47,10.88,1.52
ABM,2018.4,19.65,0.3,1.32,7.09,1.49
ABM,2018.3,23.1,0.3,1.33,14.43,1.57
ABM,2018.2,21.72,0.3,1.33,57.41,1.61
ABM,2018.1,23.74,0.37,1.64,0,1.68
ABM,2017.4,555.07,0.41,1.85,0,1.77
ABM,2017.3,152.39,0.44,2.37,0,1.43
ABM,2017.2,165.27,0.43,2.36,102.39,1.55
ABM,2017.1,0,0.4,2.27,36.65,1.66
ABM,2016.4,35.25,0.39,2.03,47.33,1.34
ABM,2016.3,21.78,0.38,1.89,20.69,1.24
ABM,2016.2,28.2,0.33,1.64,12.13,1.2
ABM,2016.1,21.24,0.31,1.52,12.39,1.27
ABM,2015.4,18.93,0.3,1.41,11.63,1.12
ABM,2015.3,25.45,0.37,1.67,12.23,1.3
ABM,2015.2,19.4,0.36,1.6,16.67,1.21
ABM,2015.1,18,0.31,1.44,14.51,1.27
ABM,2014.4,18.17,0.3,1.39,15.79,1.26
ABM,2014.3,16.84,0.26,1.26,17.03,1.27
ABM,2014.2,19.19,0.29,1.4,13.79,1.29
ABM,2014.1,17.63,0.29,1.38,17.86,1.33
ABM,2013.4,17.95,0.3,1.42,12.68,1.31
ABM,2013.3,15.96,0.26,1.36,9.5,1.35
ABM,2013.2,14.44,0.23,1.19,9.19,1.37
ABM,2013.1,15.59,0.23,1.17,9.12,1.43
ABM,2012.4,13.88,0.2,1.01,6.85,1.18
ABM,2012.3,15.85,0.2,1.01,6.33,1.29
ABM,2012.2,15.28,0.24,1.26,6.66,1.29
ABM,2012.1,13.62,0.22,1.18,6.68,1.34
ABM,2011.4,13,0.21,1.1,6.39,1.36
ABM,2011.3,13.5,0.24,1.23,7.31,1.46
ABM,2011.2,15.81,0.27,1.36,8.79,1.52
ABM,2011.1,18.08,0.3,1.45,7.78,1.61
ABM,2010.4,14.74,0.27,1.27,7.4,1.1
ABM,2010.3,15.65,0.26,1.24,7.2,1.13
ABM,2010.2,18.05,0.25,1.24,8.98,1.11
ABM,2010.1,14.77,0.23,1.12,8.86,1.19
ABM,2009.4,13.66,0.21,1.09,6.03,1.21
ABM,2009.3,16.3,0.24,1.23,9.47,1.31
ABM,2009.2,12.45,0.19,1.03,7.51,1.29
ABM,2009.1,10.77,0.16,0.88,6.27,1.41
ABM,2008.4,13.75,0.17,0.97,17.46,1.45
ABM,2008.3,18.36,0.27,1.42,13.14,1.53
ABM,2008.2,17.61,0.26,1.26,10.84,1.62
ABM,2008.1,15.4,0.27,1.26,19.64,1.69
ABM,2007.4,16.53,0.32,1.42,25.52,0.85
ABM,2007.3,9.24,0.34,1.54,12.19,0.76
ABM,2007.2,9.7,0.37,1.74,11.06,0.73
