mod_num,time_to_create,ntrees,max_depth,min_rows,mtries,min_split_improvement,sample_rate,nbins,col_sample_rate_per_tree,r_2,r_2_test,mae_test,mse_test
1,1.4479999999998654,50,3,1,4,1e-4,0.632,4,0.8,0.2813014453928038,0.17356435158900174,0.4487900362681383,0.4947037474029279
2,2.2609999999999673,100,3,1,4,1e-4,0.632,4,0.8,0.29822006191144224,0.15708092075042157,0.45055642368671195,0.5033021505754732
3,1.2560000000003129,50,7,1,4,1e-4,0.632,4,0.8,0.4679797307367266,0.42781897013409,0.3817228879885108,0.34525824831193946
4,2.2719999999999345,100,7,1,4,1e-4,0.632,4,0.8,0.4607612422754578,0.4008025694676005,0.388370551111909,0.36884546454739203
5,1.268000000000029,50,10,1,4,1e-4,0.632,4,0.8,0.5261290705511645,0.5168159995053422,0.3464417390217511,0.29149789108823293
6,2.2640000000001237,100,10,1,4,1e-4,0.632,4,0.8,0.5213721637537666,0.493976454439094,0.3533586809031478,0.31606178481447084
7,2.269999999999982,50,15,1,4,1e-4,0.632,4,0.8,0.5813444867934998,0.5710538330264727,0.31768918581182554,0.2698544295335148
8,3.286000000000058,100,15,1,4,1e-4,0.632,4,0.8,0.580976112842055,0.5559673479833607,0.3232051375880242,0.2901004526968509
9,2.269000000000233,50,20,1,4,1e-4,0.632,4,0.8,0.5891038607301493,0.5800268672475557,0.31248879810953617,0.26591306424762423
10,4.347999999999956,100,20,1,4,1e-4,0.632,4,0.8,0.5910064326354204,0.5644824880740925,0.31820504231371205,0.28693366114057545
11,1.3179999999997563,50,3,1,7,1e-4,0.632,4,0.8,0.2880804203048889,0.14335441684822836,0.4508088129957396,0.4980551451838274
12,2.288000000000011,100,3,1,7,1e-4,0.632,4,0.8,0.28933412940070957,0.14350942814279855,0.45081033163309775,0.5028060377097139
13,1.2590000000000146,50,7,1,7,1e-4,0.632,4,0.8,0.45430578243778597,0.3956326230583307,0.3833177263478353,0.3622053689423561
14,2.2829999999999018,100,7,1,7,1e-4,0.632,4,0.8,0.4628571152315041,0.39328863288132476,0.3853355258032553,0.36504601713962054
15,1.2669999999998254,50,10,1,7,1e-4,0.632,4,0.8,0.5267061231864734,0.49503135152411615,0.3452179310699343,0.3134544961540332
16,3.28899999999976,100,10,1,7,1e-4,0.632,4,0.8,0.5370247328403919,0.49417527039374975,0.34466582814845487,0.31537111049057553
17,2.2719999999999345,50,15,1,7,1e-4,0.632,4,0.8,0.5825355503053882,0.5588980073316174,0.31603783026858456,0.2858389967834319
18,3.2959999999998217,100,15,1,7,1e-4,0.632,4,0.8,0.5909924525918291,0.5576812302767886,0.31481350803693453,0.2869570896740246
19,2.2719999999999345,50,20,1,7,1e-4,0.632,4,0.8,0.5871991473902872,0.5638788283381118,0.31271628367997706,0.2853748280415885
20,3.2890000000002146,100,20,1,7,1e-4,0.632,4,0.8,0.5966690463115323,0.5618331825567993,0.31226003214359666,0.2862222466365594
21,1.2660000000000764,50,3,1,4,0.001,0.632,4,0.8,0.2813014453928038,0.17356435158900174,0.4487900362681383,0.4947037474029279
22,2.2729999999996835,100,3,1,4,0.001,0.632,4,0.8,0.29822006191144224,0.15708092075042157,0.45055642368671195,0.5033021505754732
