mod_num,time_to_create,n_yes_train,n_no_train,n_yes_test,n_no_test,ntrees,max_depth,min_rows,distribution,learn_rate,learn_rate_annealing,min_split_improvement,sample_rate,nbins,col_sample_rate_per_tree,histogram_type,gini,auc,threshold_max_f1,sensitivity_max_f1,specificity_max_f1,precision_max_f1,accuracy_max_f1,threshold_98_specificity,sensitivity_98_specificity,specificity_98_specificity,precision_98_specificity,accuracy_98_specificity
1,3.9399999999986903,250,347.99999999999994,86,107,100,1,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.6410229885057472,0.8205114942528736,0.330957450905446,0.9302325581395349,0.308411214953271,0.5194805194805194,0.5854922279792746,0.5963215343080908,0.06976744186046512,0.9813084112149533,0.75,0.5751295336787565
2,7.3400000000001455,250,347.99999999999994,86,107,300,1,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.6757471264367816,0.8378735632183908,0.378076576354489,0.7674418604651163,0.5794392523364486,0.5945945945945946,0.6632124352331606,0.6171245190014051,0.08139534883720931,0.9813084112149533,0.7777777777777778,0.5803108808290155
3,3.8099999999976717,250,347.99999999999994,86,107,100,3,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.8805172413793103,0.9402586206896552,0.336718281952388,0.8023255813953488,0.6355140186915887,0.6388888888888888,0.7098445595854922,0.7679641914942724,0.20930232558139536,0.9813084112149533,0.9,0.6373056994818653
4,9.299999999999272,250,347.99999999999994,86,107,300,3,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9123793103448277,0.9561896551724138,0.313130771747119,0.8255813953488372,0.6074766355140186,0.6283185840707964,0.7046632124352331,0.8071190993496941,0.22093023255813954,0.9813084112149533,0.9047619047619048,0.6424870466321243
5,7.150000000001455,250,347.99999999999994,86,107,100,7,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.272076367554688,0.8604651162790697,0.7570093457943925,0.74,0.8031088082901554,0.8250158346394199,0.32558139534883723,0.9813084112149533,0.9333333333333333,0.689119170984456
6,14.529999999998836,250,347.99999999999994,86,107,300,7,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.226756749523955,0.872093023255814,0.7570093457943925,0.7425742574257426,0.8082901554404145,0.8516831714898631,0.3488372093023256,0.9813084112149533,0.9375,0.6994818652849741
7,9.720000000001164,250,347.99999999999994,86,107,100,10,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.231856021983391,0.8953488372093024,0.7757009345794392,0.7623762376237624,0.8290155440414507,0.881228152966771,0.313953488372093,0.9813084112149533,0.9310344827586207,0.6839378238341969
8,20.5,250,347.99999999999994,86,107,300,10,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.190558741914572,0.8953488372093024,0.7663551401869159,0.7549019607843137,0.8238341968911918,0.9090985160002012,0.3488372093023256,0.9813084112149533,0.9375,0.6994818652849741
9,3.4799999999995634,250,347.99999999999994,86,107,100,1,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.5348390804597702,0.7674195402298851,0.396020711981306,0.9883720930232558,0.056074766355140186,0.45698924731182794,0.47150259067357514,0.5445266928748456,0.023255813953488372,0.9906542056074766,0.6666666666666666,0.5595854922279793
10,7.75,250,347.99999999999994,86,107,300,1,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.5665402298850573,0.7832701149425286,0.391381636298894,0.872093023255814,0.37383177570093457,0.528169014084507,0.5958549222797928,0.5335337780766496,0.03488372093023256,0.9813084112149533,0.6,0.5595854922279793
11,3.819999999999709,250,347.99999999999994,86,107,100,3,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.737632183908046,0.868816091954023,0.375928317661872,0.7906976744186046,0.5514018691588785,0.5862068965517241,0.6580310880829016,0.5212841342208758,0.19767441860465115,0.9813084112149533,0.8947368421052632,0.6321243523316062
12,9.659999999999854,250,347.99999999999994,86,107,300,3,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.7782988505747126,0.8891494252873563,0.402315272871476,0.7093023255813954,0.7102803738317757,0.6630434782608695,0.7098445595854922,0.5850653591744881,0.18604651162790697,0.9813084112149533,0.8888888888888888,0.6269430051813472
13,6.029999999998836,250,347.99999999999994,86,107,100,7,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9975172413793103,0.9987586206896552,0.393494163208336,0.813953488372093,0.8037383177570093,0.7692307692307693,0.8082901554404145,0.5813264297216477,0.32558139534883723,0.9813084112149533,0.9333333333333333,0.689119170984456
14,15.639999999999418,250,347.99999999999994,86,107,300,7,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9994022988505749,0.9997011494252874,0.388815222403631,0.813953488372093,0.8130841121495327,0.7777777777777778,0.8134715025906736,0.6309620035547103,0.3372093023255814,0.9813084112149533,0.9354838709677419,0.694300518134715
15,11.31000000000131,250,347.99999999999994,86,107,100,10,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.390420288185713,0.8604651162790697,0.794392523364486,0.7708333333333334,0.8238341968911918,0.6046210575006681,0.29069767441860467,0.9813084112149533,0.9259259259259259,0.6735751295336787
16,23.07999999999811,250,347.99999999999994,86,107,300,10,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.375953194907626,0.8604651162790697,0.8130841121495327,0.7872340425531915,0.8341968911917098,0.6810655795855675,0.29069767441860467,0.9813084112149533,0.9259259259259259,0.6735751295336787
17,3.6900000000023283,250,347.99999999999994,86,107,100,1,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.3331954022988506,0.6665977011494253,0.415243886047799,0.9883720930232558,0.028037383177570093,0.4497354497354497,0.45595854922279794,Inf,0.08139534883720931,0.9626168224299065,0.6363636363636364,0.5699481865284974
18,7.790000000000873,250,347.99999999999994,86,107,300,1,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.4484022988505747,0.7242011494252873,0.413927047842528,0.9883720930232558,0.028037383177570093,0.4497354497354497,0.45595854922279794,0.4473952691450412,0.011627906976744186,0.9906542056074766,0.5,0.5544041450777202
19,5.279999999998836,250,347.99999999999994,86,107,100,3,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.7036091954022989,0.8518045977011495,0.413352965873519,0.8023255813953488,0.5233644859813084,0.575,0.6476683937823834,0.4297450839682527,0.20930232558139536,0.9813084112149533,0.9,0.6373056994818653
20,11.520000000000437,250,347.99999999999994,86,107,300,3,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.7117356321839079,0.855867816091954,0.409813254481013,0.8255813953488372,0.4953271028037383,0.568,0.6424870466321243,0.43620014356114944,0.20930232558139536,0.9813084112149533,0.9,0.6373056994818653
21,6.149999999997817,250,347.99999999999994,86,107,100,7,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9936091954022988,0.9968045977011494,0.41009031879196,0.8953488372093024,0.6448598130841121,0.6695652173913044,0.7564766839378239,0.4400846165711986,0.29069767441860467,0.9813084112149533,0.9259259259259259,0.6735751295336787
