mod_num,time_to_create,n_yes_train,n_no_train,n_yes_test,n_no_test,ntrees,ntrees.1,max_depth,min_rows,distribution,learn_rate,learn_rate_annealing,min_split_improvement,sample_rate,nbins,col_sample_rate_per_tree,histogram_type,gini,auc,threshold_max_f1,sensitivity_max_f1,specificity_max_f1,precision_max_f1,accuracy_max_f1,threshold_98_specificity,sensitivity_98_specificity,specificity_98_specificity,precision_98_specificity,accuracy_98_specificity
1,3.4570000000003347,160,247.99999999999997,48,84,100,100,1,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.6084173387096774,0.8042086693548387,0.376609433171342,0.625,0.6666666666666666,0.5172413793103449,0.6515151515151515,0.5573231700800625,0.10416666666666667,1,1,0.6742424242424242
2,8.456999999999425,160,247.99999999999997,48,84,300,300,1,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.6442792338709677,0.8221396169354839,0.387914696146954,0.625,0.6666666666666666,0.5172413793103449,0.6515151515151515,0.6058333659377116,0.1875,0.9880952380952381,0.9,0.696969696969697
3,3.380000000000109,160,247.99999999999997,48,84,100,100,3,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9169858870967742,0.9584929435483871,0.257514910884658,0.8333333333333334,0.5476190476190477,0.5128205128205128,0.6515151515151515,0.7462976681861315,0.16666666666666666,0.9880952380952381,0.8888888888888888,0.6893939393939394
4,9.447000000000116,160,247.99999999999997,48,84,300,300,3,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9526461693548387,0.9763230846774194,0.279469627880546,0.75,0.6547619047619048,0.5538461538461539,0.6893939393939394,0.7848358871211716,0.1875,0.9880952380952381,0.9,0.696969696969697
5,5.414999999999964,160,247.99999999999997,48,84,100,100,7,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.328707949133831,0.7083333333333334,0.8333333333333334,0.7083333333333334,0.7878787878787878,0.8388831728004932,0.3333333333333333,0.9880952380952381,0.9411764705882353,0.75
6,15.546000000000276,160,247.99999999999997,48,84,300,300,7,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.292647893494478,0.7291666666666666,0.8095238095238095,0.6862745098039216,0.7803030303030303,0.8879092894035971,0.3333333333333333,0.9880952380952381,0.9411764705882353,0.75
7,8.470000000000255,160,247.99999999999997,48,84,100,100,10,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.466263262342708,0.6458333333333334,0.9166666666666666,0.8157894736842105,0.8181818181818182,0.8641125572752121,0.3125,0.9880952380952381,0.9375,0.7424242424242424
8,19.61700000000019,160,247.99999999999997,48,84,300,300,10,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.407383745201882,0.6666666666666666,0.9047619047619048,0.8,0.8181818181818182,0.935844170814417,0.2916666666666667,0.9880952380952381,0.9333333333333333,0.7348484848484849
9,2.3659999999999854,160,247.99999999999997,48,84,100,100,1,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.4378780241935485,0.7189390120967742,0.348850376078743,1,0,0.36363636363636365,0.36363636363636365,0.5468195745314237,0.041666666666666664,1,1,0.6515151515151515
10,8.427999999999884,160,247.99999999999997,48,84,300,300,1,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.4735887096774194,0.7367943548387097,0.330329964397614,1,0,0.36363636363636365,0.36363636363636365,0.4815267461761262,0.0625,1,1,0.6590909090909091
11,3.3690000000005966,160,247.99999999999997,48,84,100,100,3,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.7715725806451614,0.8857862903225807,0.36525578192948,0.6458333333333334,0.7142857142857143,0.5636363636363636,0.6893939393939394,0.5917915151861668,0.0625,0.9880952380952381,0.75,0.6515151515151515
12,9.483000000000175,160,247.99999999999997,48,84,300,300,3,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.8032006048387097,0.9016003024193548,0.371843286384967,0.625,0.7261904761904762,0.5660377358490566,0.6893939393939394,0.6526397027259067,0.041666666666666664,0.9880952380952381,0.6666666666666666,0.6439393939393939
13,5.4350000000004,160,247.99999999999997,48,84,100,100,7,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.421759924912541,0.625,0.8928571428571429,0.7692307692307693,0.7954545454545454,0.5474715847543244,0.4166666666666667,0.9880952380952381,0.9523809523809523,0.7803030303030303
14,15.542999999999665,160,247.99999999999997,48,84,300,300,7,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.422113742202944,0.6458333333333334,0.8809523809523809,0.7560975609756098,0.7954545454545454,0.6005958503616871,0.4166666666666667,0.9880952380952381,0.9523809523809523,0.7803030303030303
15,8.478000000000065,160,247.99999999999997,48,84,100,100,10,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.440982494693485,0.6458333333333334,0.9166666666666666,0.8157894736842105,0.8181818181818182,0.5569871997363598,0.375,0.9880952380952381,0.9473684210526315,0.7651515151515151
16,22.721999999999753,160,247.99999999999997,48,84,300,300,10,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.459668219847888,0.6458333333333334,0.9166666666666666,0.8157894736842105,0.8181818181818182,0.6170688297031258,0.3958333333333333,0.9880952380952381,0.95,0.7727272727272727
17,3.38799999999992,160,247.99999999999997,48,84,100,100,1,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.3803931451612903,0.6901965725806452,0.385397997748711,1,0,0.36363636363636365,0.36363636363636365,Inf,0.3541666666666667,0.8214285714285714,0.53125,0.6515151515151515
18,8.416000000000167,160,247.99999999999997,48,84,300,300,1,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.39395161290322567,0.6969758064516128,0.382198860786203,1,0,0.36363636363636365,0.36363636363636365,Inf,0.3541666666666667,0.8214285714285714,0.53125,0.6515151515151515
19,4.4350000000004,160,247.99999999999997,48,84,100,100,3,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.7254788306451612,0.8627394153225806,0.385249487331029,0.7708333333333334,0.5,0.46835443037974683,0.5984848484848485,0.41581073290929155,0.0625,0.9880952380952381,0.75,0.6515151515151515
20,9.4950000000008,160,247.99999999999997,48,84,300,300,3,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.7306703629032258,0.8653351814516129,0.381387668974146,0.7708333333333334,0.5,0.46835443037974683,0.5984848484848485,0.42838608678467127,0.041666666666666664,0.9880952380952381,0.6666666666666666,0.6439393939393939
21,6.433999999999287,160,247.99999999999997,48,84,100,100,7,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9991935483870968,0.9995967741935484,0.398324066002763,0.625,0.8928571428571429,0.7692307692307693,0.7954545454545454,0.4134254791578972,0.3958333333333333,0.9880952380952381,0.95,0.7727272727272727
22,15.592999999999847,160,247.99999999999997,48,84,300,300,7,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9995463709677419,0.999773185483871,0.382222479149025,0.8125,0.6785714285714286,0.5909090909090909,0.7272727272727273,0.42240207347997305,0.3958333333333333,0.9880952380952381,0.95,0.7727272727272727
23,8.432999999999993,160,247.99999999999997,48,84,100,100,10,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.400025872134796,0.625,0.9285714285714286,0.8333333333333334,0.8181818181818182,0.41628378136746735,0.3541666666666667,0.9880952380952381,0.9444444444444444,0.7575757575757576
24,21.662000000000262,160,247.99999999999997,48,84,300,300,10,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.402872552039292,0.6458333333333334,0.9166666666666666,0.8157894736842105,0.8181818181818182,0.42769694231149985,0.3541666666666667,0.9880952380952381,0.9444444444444444,0.7575757575757576
25,3.423999999999978,160,247.99999999999997,48,84,100,100,1,1,bernoulli,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.4343750000000002,0.7171875000000001,0.34922307517536,1,0,0.36363636363636365,0.36363636363636365,0.5066104213054495,0.041666666666666664,1,1,0.6515151515151515
26,3.378000000000611,160,247.99999999999997,48,84,300,300,1,1,bernoulli,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.451234879032258,0.725617439516129,0.349223041936851,1,0,0.36363636363636365,0.36363636363636365,0.5066120366450104,0.041666666666666664,1,1,0.6515151515151515
27,3.3919999999998254,160,247.99999999999997,48,84,100,100,3,1,bernoulli,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.7579133064516128,0.8789566532258064,0.354444311339019,0.7708333333333334,0.5952380952380952,0.5211267605633803,0.6590909090909091,0.5704009292345589,0.0625,0.9880952380952381,0.75,0.6515151515151515
28,3.4089999999996508,160,247.99999999999997,48,84,300,300,3,1,bernoulli,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.7579133064516128,0.8789566532258064,0.35444419122763,0.7708333333333334,0.5952380952380952,0.5211267605633803,0.6590909090909091,0.5704016500818698,0.0625,0.9880952380952381,0.75,0.6515151515151515
29,6.456000000000131,160,247.99999999999997,48,84,100,100,7,1,bernoulli,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.9994959677419355,0.9997479838709677,0.366183539472243,0.75,0.7976190476190477,0.6792452830188679,0.7803030303030303,0.5700938487536014,0.1875,0.9880952380952381,0.9,0.696969696969697
30,7.467000000000553,160,247.99999999999997,48,84,300,300,7,1,bernoulli,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.9994959677419355,0.9997479838709677,0.366182817561755,0.75,0.7976190476190477,0.6792452830188679,0.7803030303030303,0.5700950169250203,0.1875,0.9880952380952381,0.9,0.696969696969697
31,8.474999999999454,160,247.99999999999997,48,84,100,100,10,1,bernoulli,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,1,1,0.444260027741005,0.625,0.9285714285714286,0.8333333333333334,0.8181818181818182,0.5826703554251709,0.2916666666666667,0.9880952380952381,0.9333333333333333,0.7348484848484849
32,8.463000000000648,160,247.99999999999997,48,84,300,300,10,1,bernoulli,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,1,1,0.444260589743526,0.625,0.9285714285714286,0.8333333333333334,0.8181818181818182,0.5826713331715454,0.2916666666666667,0.9880952380952381,0.9333333333333333,0.7348484848484849
