mod_num,time_to_create,ntrees,max_depth,min_rows,mtries,min_split_improvement,sample_rate,nbins,col_sample_rate_per_tree,r_2,r_2_test,mae_test,mse_test
1,2.6199999999989814,50,3,1,4,1e-4,0.632,4,0.8,0.2752919146279117,0.25068088255919574,0.5484806873599151,0.7350799089009591
2,3.2000000000007276,100,3,1,4,1e-4,0.632,4,0.8,0.265246008151908,0.24255209829155067,0.5498288986690079,0.7537179389314042
3,3.0900000000001455,50,7,1,4,1e-4,0.632,4,0.8,0.4809358315723764,0.5195744567613638,0.4400944241409121,0.49557987373040685
4,3.360000000000582,100,7,1,4,1e-4,0.632,4,0.8,0.4823371956158926,0.5087297277409938,0.439592136598053,0.5077711792010674
5,3.110000000000582,50,10,1,4,1e-4,0.632,4,0.8,0.5533702882549056,0.6026296612095464,0.4017844777852729,0.44930622305248963
6,3.970000000001164,100,10,1,4,1e-4,0.632,4,0.8,0.5532136653160848,0.59326264956106,0.40035182309050266,0.4555589584131235
7,3.2000000000007276,50,15,1,4,1e-4,0.632,4,0.8,0.5877566845909263,0.6469087018973292,0.3730008818335772,0.42423806684307436
8,3.75,100,15,1,4,1e-4,0.632,4,0.8,0.5926531304318904,0.6401862292075591,0.372777020562585,0.4301134736531245
9,3.1899999999986903,50,20,1,4,1e-4,0.632,4,0.8,0.5897459862980475,0.6467277423890341,0.37050858297089684,0.4237827401638177
10,3.779999999998836,100,20,1,4,1e-4,0.632,4,0.8,0.5957314936345022,0.6421797370905846,0.370315005546012,0.42802869672856075
11,3,50,3,1,7,1e-4,0.632,4,0.8,0.3026323319388011,0.2908460240137327,0.5235554359055762,0.5875890440302588
12,3.1700000000018917,100,3,1,7,1e-4,0.632,4,0.8,0.3037353325015313,0.2832893463698708,0.5262709846530201,0.6050333772488599
13,3.1199999999989814,50,7,1,7,1e-4,0.632,4,0.8,0.4979988808162543,0.565549505134074,0.4171722905818677,0.39391052020209444
14,3.5600000000013097,100,7,1,7,1e-4,0.632,4,0.8,0.5123784572274386,0.5590249730833012,0.41089124311494696,0.3825096774363071
15,3.139999999999418,50,10,1,7,1e-4,0.632,4,0.8,0.5694293050525053,0.6482988240735031,0.3736456507573249,0.3491694916926301
16,3.6699999999982538,100,10,1,7,1e-4,0.632,4,0.8,0.578336139925619,0.6453278897124436,0.3645284183682686,0.33563512987997
17,3.25,50,15,1,7,1e-4,0.632,4,0.8,0.5999871983328087,0.6791372221315869,0.34903983113309134,0.3307702147649025
18,3.9200000000018917,100,15,1,7,1e-4,0.632,4,0.8,0.6109097195992228,0.6800140611255078,0.33975265636646323,0.31449346320091415
19,3.3699999999989814,50,20,1,7,1e-4,0.632,4,0.8,0.6019745852330161,0.6806143537778996,0.3463089498779584,0.32878644350995345
20,5.200000000000728,100,20,1,7,1e-4,0.632,4,0.8,0.6127552361752233,0.6818255911559781,0.33731542595701774,0.3131477753417087
21,1.8099999999976717,50,3,1,4,0.001,0.632,4,0.8,0.2752919146279117,0.25068088255919574,0.5484806873599151,0.7350799089009591
22,3.1599999999998545,100,3,1,4,0.001,0.632,4,0.8,0.265246008151908,0.24255209829155067,0.5498288986690079,0.7537179389314042
23,3.0800000000017462,50,7,1,4,0.001,0.632,4,0.8,0.4809358315723764,0.5195744567613638,0.4400944241409121,0.49557987373040685
24,3.279999999998836,100,7,1,4,0.001,0.632,4,0.8,0.4823371956158926,0.5087297277409938,0.439592136598053,0.5077711792010674
25,3.599999999998545,50,10,1,4,0.001,0.632,4,0.8,0.5541260586285669,0.6033268781500818,0.40127901833244106,0.44895056027497643
26,3.4799999999995634,100,10,1,4,0.001,0.632,4,0.8,0.5535769902464689,0.5935546461069072,0.40010989070231046,0.45542312374023164
27,3.4099999999998545,50,15,1,4,0.001,0.632,4,0.8,0.5847776530228813,0.6487382741679227,0.37277277535413955,0.4225333882179715
28,3.860000000000582,100,15,1,4,0.001,0.632,4,0.8,0.5914777323764724,0.6411959143855153,0.3720503963050506,0.4287860264431895
29,3.209999999999127,50,20,1,4,0.001,0.632,4,0.8,0.5870020396418563,0.648813977141048,0.37054039405213746,0.42218778331382983
30,3.6899999999986903,100,20,1,4,0.001,0.632,4,0.8,0.5943302596936695,0.6438255204483625,0.36947753344635975,0.42642864102501404
31,1.7700000000004366,50,3,1,7,0.001,0.632,4,0.8,0.3026323319388011,0.2908460240137327,0.5235554359055762,0.5875890440302588
32,3.1899999999986903,100,3,1,7,0.001,0.632,4,0.8,0.3037353325015313,0.2832893463698708,0.5262709846530201,0.6050333772488599
33,3.0499999999992724,50,7,1,7,0.001,0.632,4,0.8,0.4979988808162543,0.565549505134074,0.4171722905818677,0.39391052020209444
34,3.4200000000018917,100,7,1,7,0.001,0.632,4,0.8,0.5123784572274386,0.5590249730833012,0.41089124311494696,0.3825096774363071
35,3.1699999999982538,50,10,1,7,0.001,0.632,4,0.8,0.5694293050525053,0.6482988240735031,0.3736456507573249,0.3491694916926301
36,3.600000000002183,100,10,1,7,0.001,0.632,4,0.8,0.578336139925619,0.6453278897124436,0.3645284183682686,0.33563512987997
37,3.319999999999709,50,15,1,7,0.001,0.632,4,0.8,0.5996917776708128,0.6790753331459116,0.34913648040061435,0.3310530484349028
38,3.8400000000001455,100,15,1,7,0.001,0.632,4,0.8,0.6107560990107626,0.6800220904033297,0.3398158560780819,0.31462233952532853
39,3.319999999999709,50,20,1,7,0.001,0.632,4,0.8,0.6017708436392304,0.6811996553315525,0.34626980201413415,0.3288389892672971
40,5.130000000001019,100,20,1,7,0.001,0.632,4,0.8,0.6126208195659164,0.6821084083872988,0.33732925969698824,0.3132115388700709
41,3.040000000000873,50,3,1,4,1e-4,0.632,20,0.8,0.27520242906686376,0.2517193683174127,0.5485994363492431,0.7342877376169524
42,3.1999999999970896,100,3,1,4,1e-4,0.632,20,0.8,0.26532945010339504,0.2431615039663213,0.5499173595872628,0.7535017962250969
43,3.1299999999973807,50,7,1,4,1e-4,0.632,20,0.8,0.48478350321990626,0.5240747244652946,0.4391130365652239,0.4941401926115947
44,3.3700000000026193,100,7,1,4,1e-4,0.632,20,0.8,0.4864505211232042,0.5133541658509243,0.43859789744652167,0.5044897095432145
45,3.209999999999127,50,10,1,4,1e-4,0.632,20,0.8,0.5559990081251731,0.609519783555781,0.40072771890208336,0.4491446195561437
46,3.5,100,10,1,4,1e-4,0.632,20,0.8,0.5641563374959409,0.6070282031553538,0.3960010833185574,0.4502769220146667
47,3.280000000002474,50,15,1,4,1e-4,0.632,20,0.8,0.5802442953604698,0.6366081547501712,0.3768345654745387,0.43008702964742757
