mod_num,time_to_create,ntrees,max_depth,min_rows,distribution,learn_rate,learn_rate_annealing,min_split_improvement,sample_rate,nbins,col_sample_rate_per_tree,histogram_type,r_2,r_2_test,mae_test,mse_test
1,2.4859999999998763,100,1,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.2841696100962945,0.21713863973816272,0.6030783964198596,0.8157726504142073
2,4.358000000000175,300,1,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.34483455159236676,0.254556706560759,0.5821007401660707,0.7725809310794979
3,2.298999999999978,100,3,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.6513537072073847,0.4588600243766784,0.5000403045329533,0.5416417514238704
4,6.367000000000189,300,3,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.7136151398135442,0.49143182523345696,0.48099607310767,0.5161766476328715
5,5.332999999999629,100,7,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9441479728601251,0.637546032815892,0.39071492600025903,0.3450319349961791
6,14.468000000000302,300,7,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9743610061688008,0.6558009595911667,0.3739939809197174,0.32238422625252866
7,8.740999999999985,100,10,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9848720731553414,0.6672311099308683,0.3672891363808415,0.32084938838121996
8,22.570999999999913,300,10,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9965818934220997,0.6798825841649643,0.35636219932254076,0.3092092483885143
9,1.3099999999999454,100,1,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.097018373361621,0.048211618012827806,0.6731798703320121,0.9810947831253415
10,4.33199999999988,300,1,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.1338708298491641,0.08616099005041211,0.660615557317885,0.9495049027571757
11,2.2919999999999163,100,3,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.3022409265113031,0.22949371716861222,0.6112210865642159,0.8158640616717787
12,6.3530000000000655,300,3,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.3930706472457063,0.30167072384424476,0.5774717164559562,0.7329037036808115
13,5.361000000000331,100,7,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.5566977445867357,0.3918201058579689,0.5482591369690972,0.6750809114672116
14,14.483000000000175,300,7,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.6895973007754312,0.4879019545360951,0.49931166425250395,0.5603749332480085
15,9.407000000000153,100,10,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.6283146627483334,0.42739744755146625,0.5332334516559945,0.6485867441793043
16,24.601000000000113,300,10,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.7674317312778859,0.5308025678372371,0.4784094830198693,0.525261112034691
17,1.2989999999999782,100,1,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.01174661993669579,-0.046098404694498996,0.7045857482767764,1.0503685579908897
18,4.329000000000178,300,1,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.01747378255154597,-0.03994297131466218,0.7028312888295016,1.0461218293222643
