mod_num,time_to_create,ntrees,max_depth,min_rows,distribution,learn_rate,learn_rate_annealing,min_split_improvement,sample_rate,nbins,col_sample_rate_per_tree,histogram_type,r_2,r_2_test,mae_test,mse_test
1,4.109999999999673,100,1,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.21166055807627804,0.1349786670429739,0.4627247930765748,0.4578648791809195
2,5.079999999999927,300,1,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.24350363867960467,0.14845819873022215,0.46043248507844325,0.4485452884740089
3,3.4199999999991633,100,3,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.5019710389875944,0.2908940716236271,0.40401458403197266,0.3799029601301039
4,5.630000000000109,300,3,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.5838461449389765,0.3172577894841533,0.39106678371698117,0.36639340150339034
5,5.460000000000036,100,7,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.908401347623881,0.48787041658831487,0.32935393244688155,0.2942472971999264
6,10.590000000000146,300,7,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.960078459474359,0.5054876154938788,0.3225674132308738,0.28183090379342474
7,7.529999999999745,100,10,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9741020153609737,0.5025159493540741,0.32684134849827606,0.290704735582458
8,18.050000000000182,300,10,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9937388389800799,0.5155976291245372,0.32178922698217743,0.283428808352584
9,3.7600000000002183,100,1,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.09787405454720544,0.09140159108008106,0.4703860575298781,0.4813134721265773
10,4.7299999999995634,300,1,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.12393467086828103,0.10671620714999808,0.4656655007469982,0.4741488385827284
11,3.3400000000001455,100,3,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.20921596421602073,0.15314913765333682,0.4551095719223556,0.45037317406013155
12,5.619999999999891,300,3,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.2745843180507569,0.18990914797783387,0.4418839517126696,0.4323062650875843
13,5.550000000000182,100,7,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.4587656657381415,0.26620946921997624,0.4241629700482162,0.402350615818617
14,12.220000000000255,300,7,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.591071171322703,0.3368244885867824,0.3985070686586284,0.36695296950456763
15,7.990000000000691,100,10,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.5659201160569358,0.3084216614225408,0.41249855918679285,0.38390720735097467
16,19.139999999999418,300,10,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.7114716416254853,0.3850088015385641,0.3826551711444364,0.3434353645864511
17,3.1200000000008004,100,1,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.01387612883656375,0.012847635689321457,0.4980884397567684,0.5116395489916892
18,5.029999999999745,300,1,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.02026460089581117,0.019560308876162447,0.4960482166835355,0.5092632782375801
19,3.3299999999999272,100,3,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.028309604905663477,0.020840732694079933,0.49630135834456857,0.5080230735697923
20,5.720000000000255,300,3,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.04194956929760618,0.03150570772460348,0.4933666393321133,0.5038103643817989
21,5.470000000000255,100,7,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.06347882912413749,0.03746902649192618,0.4925569498459915,0.5014542340556792
22,12.220000000000255,300,7,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.09385039626493419,0.056340348600184664,0.4875421141280881,0.49398011627922617
23,8.170000000000073,100,10,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.08231099297128375,0.04506881429069931,0.49066025484621295,0.4986104508855676
