mod_num,time_to_create,ntrees,max_depth,min_rows,mtries,min_split_improvement,sample_rate,nbins,col_sample_rate_per_tree,r_2,r_2_test,mae_test,mse_test
1,1.4170000000012806,50,3,1,4,1e-4,0.632,4,0.8,0.26860275442231785,0.1965086031405624,0.418388093918056,0.348936666858191
2,2.293999999994412,100,3,1,4,1e-4,0.632,4,0.8,0.2655921182656312,0.1926220347341674,0.4191507200137625,0.3490639603782513
3,1.2450000000026193,50,7,1,4,1e-4,0.632,4,0.8,0.4498007553989801,0.3898218617876109,0.3583295459837147,0.2620912059361839
4,2.257000000005064,100,7,1,4,1e-4,0.632,4,0.8,0.4610223214200043,0.39224091604464717,0.3583003078182548,0.26300520131739996
5,1.2359999999971478,50,10,1,4,1e-4,0.632,4,0.8,0.5195183726401829,0.44168562427823066,0.33560030347806397,0.23628702470722077
6,3.264999999999418,100,10,1,4,1e-4,0.632,4,0.8,0.5311021842505967,0.44774551063432144,0.3335340776426627,0.23619686524332406
7,2.264999999999418,50,15,1,4,1e-4,0.632,4,0.8,0.5603508460209837,0.4896153245836119,0.3099333182049678,0.21468562960747042
8,4.293000000005122,100,15,1,4,1e-4,0.632,4,0.8,0.5705625578179521,0.4954526303502129,0.30657660683583654,0.21541751697056113
9,2.2959999999948195,50,20,1,4,1e-4,0.632,4,0.8,0.5617503298046178,0.49397564743251976,0.30641248441050106,0.21369456138770074
10,5.324000000000524,100,20,1,4,1e-4,0.632,4,0.8,0.5739716710071495,0.5015459343472546,0.3017909694244211,0.21319362761407207
11,1.2860000000000582,50,3,1,7,1e-4,0.632,4,0.8,0.2946253449625792,0.20581794992028601,0.4176148710873274,0.34561538061023717
12,2.2489999999961583,100,3,1,7,1e-4,0.632,4,0.8,0.28783399149734434,0.20179850777075414,0.41695695127941823,0.34733669923878463
13,1.2289999999993597,50,7,1,7,1e-4,0.632,4,0.8,0.481164368294389,0.3922610725481548,0.35242737937944535,0.2581295674386144
14,2.2620000000024447,100,7,1,7,1e-4,0.632,4,0.8,0.4829663342250019,0.39841083028992486,0.35204934292925094,0.2575282410384826
