mod_num,time_to_create,n_yes_train,n_no_train,n_yes_test,n_no_test,ntrees,max_depth,min_rows,distribution,learn_rate,learn_rate_annealing,min_split_improvement,sample_rate,nbins,col_sample_rate_per_tree,histogram_type,gini,auc,threshold_max_f1,sensitivity_max_f1,specificity_max_f1,precision_max_f1,accuracy_max_f1,threshold_98_specificity,sensitivity_98_specificity,specificity_98_specificity,precision_98_specificity,accuracy_98_specificity
1,3.4679999999989377,222,267,73,77,100,1,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.6097108344299356,0.8048554172149678,0.340213477729017,0.9452054794520548,0.22077922077922077,0.5348837209302325,0.5733333333333334,0.6826620350639608,0.2465753424657534,0.987012987012987,0.9473684210526315,0.6266666666666667
2,8.432999999999083,222,267,73,77,300,1,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.674967101933394,0.837483550966697,0.334349649724818,0.8767123287671232,0.4155844155844156,0.5871559633027523,0.64,0.7062856489447282,0.2465753424657534,0.987012987012987,0.9473684210526315,0.6266666666666667
3,3.337999999999738,222,267,73,77,100,3,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9229172993217938,0.9614586496608969,0.394416145699329,0.7808219178082192,0.7142857142857143,0.7215189873417721,0.7466666666666667,0.8333926835193811,0.2465753424657534,0.987012987012987,0.9473684210526315,0.6266666666666667
4,9.429000000000087,222,267,73,77,300,3,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9587508857171778,0.9793754428585889,0.298103532929308,0.8767123287671232,0.6103896103896104,0.6808510638297872,0.74,0.8638331983549079,0.3150684931506849,0.987012987012987,0.9583333333333334,0.66
5,6.395000000000437,222,267,73,77,100,7,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.188590752612798,0.9452054794520548,0.6493506493506493,0.71875,0.7933333333333333,0.9036820257834948,0.3561643835616438,0.987012987012987,0.9629629629629629,0.68
6,15.574000000000524,222,267,73,77,300,7,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.190170674322697,0.9178082191780822,0.6883116883116883,0.7362637362637363,0.8,0.9239096790563103,0.3698630136986301,0.987012987012987,0.9642857142857143,0.6866666666666666
7,10.476000000000568,222,267,73,77,100,10,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.370668062225975,0.8356164383561644,0.8051948051948052,0.8026315789473685,0.82,0.9156004162543322,0.3561643835616438,0.987012987012987,0.9629629629629629,0.68
8,22.604999999999563,222,267,73,77,300,10,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.142401862641852,0.9178082191780822,0.6883116883116883,0.7362637362637363,0.8,0.9511699830666974,0.3972602739726027,0.987012987012987,0.9666666666666667,0.7
9,2.300999999999476,222,267,73,77,100,1,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.44015926038397946,0.7200796301919897,0.407195713670782,1,0,0.4866666666666667,0.4866666666666667,0.602552537739218,0.1095890410958904,0.987012987012987,0.8888888888888888,0.56
10,8.384000000000015,222,267,73,77,300,1,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.46850221007524384,0.7342511050376219,0.386955265726408,0.9726027397260274,0.15584415584415584,0.5220588235294118,0.5533333333333333,0.6415923785950159,0.1095890410958904,0.987012987012987,0.8888888888888888,0.56
