mod_num,time_to_create,ntrees,max_depth,min_rows,distribution,learn_rate,learn_rate_annealing,min_split_improvement,sample_rate,nbins,col_sample_rate_per_tree,histogram_type,r_2,r_2_test,mae_test,mse_test
1,2.4349999999994907,100,1,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.21670080810166914,0.1961625314206612,0.5674445068436079,0.6622442578884513
2,4.353000000000975,300,1,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.2585761886796296,0.23820669740694467,0.5540679703691779,0.6348059694595484
3,2.272000000000844,100,3,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.480314220875768,0.41164267762214446,0.4953637955346365,0.5181698270738259
4,7.359000000000378,300,3,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.5379269612398792,0.45368409420898004,0.4788825200476903,0.4821649863543186
5,6.341000000000349,100,7,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.8606477249557207,0.595718192404936,0.4069535638272068,0.3656581976034206
6,16.509000000000015,300,7,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9241489671657892,0.6324909876037258,0.38319562459999007,0.33005829133866527
7,11.41400000000067,100,10,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9537908382531497,0.6227088170246455,0.39041959116823605,0.3458361882873173
8,32.72400000000016,300,10,1,gaussian,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9854140848989119,0.6481831842088197,0.3734721199947995,0.32159665004098803
9,1.261000000000422,100,1,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.0892218162938394,0.0754963215546649,0.5976802086707697,0.7198656205388175
10,4.307999999999083,300,1,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.11754508400347852,0.1005262117365554,0.5914524605504712,0.7104870761706219
11,2.2700000000004366,100,3,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.21652968741900147,0.18148303498425122,0.5717929450866772,0.6662226148154501
12,6.3620000000009895,300,3,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.2831505263203793,0.23844161835623956,0.5550215155837434,0.6347051040796128
13,5.347999999999956,100,7,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.4192001381766808,0.3092193787464149,0.5297129556812177,0.5808671816399793
14,16.516999999999825,300,7,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.5383184571998807,0.39967854762653243,0.5008819450465894,0.5267002901715804
15,11.48699999999917,100,10,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.5327636641904787,0.3607441092731304,0.5083334116746054,0.5411549656877439
16,31.728000000000975,300,10,1,gaussian,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.6715265816976214,0.456678757335945,0.47357670125922724,0.47903902301059614
17,1.2619999999988067,100,1,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.01189353132781501,0.0069097524710624025,0.6128859072420465,0.7437087922829018
18,4.30199999999968,300,1,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.017566634095600997,0.0125956763026418,0.6118471194852431,0.7416382332373042
19,2.264999999999418,100,3,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.029869298700180846,0.020269353384750333,0.609720243052861,0.7373286336039776
20,7.3700000000008,300,3,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.04418031495295449,0.03295418450602239,0.6070671068670863,0.7320343786837148
21,6.386000000000422,100,7,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.06008504655888258,0.04073243043965369,0.6039328348479048,0.7248936402212839
22,15.477999999999156,300,7,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.08870929709678699,0.06305672246689908,0.59849092817259,0.7136668443755079
23,11.738999999999578,100,10,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.07835493066252364,0.049394524430598774,0.6012327780603645,0.7194184107242156
24,31.725000000000364,300,10,1,gaussian,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.11543866191949625,0.07503974077776976,0.5946336070219522,0.7058171971323691
25,2.278999999998632,100,1,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.0816358858022781,0.06993939786954151,0.5996098817444796,0.7222114699342713
26,2.2920000000012806,300,1,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.08163648733029771,0.06993988131001683,0.5996097663118185,0.7222112483090485
27,2.298000000000684,100,3,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.1988472684592293,0.16337124281692628,0.5759971567936458,0.6725140450749341
28,2.2739999999994325,300,3,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.19884854598568036,0.16337221322816609,0.5759968953873142,0.6725134725312536
29,5.311999999999898,100,7,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.39310830037420885,0.28787916491512544,0.5366260056678446,0.5937402683834184
30,6.324999999998909,300,7,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.393110468827209,0.2878806816692764,0.536625556568522,0.5937392960927544
31,11.409999999999854,100,10,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.4991329447915469,0.3353076511412265,0.5177342878294731,0.563473898880724
32,11.43199999999888,300,10,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.4991354738436664,0.33530927160240986,0.5177337478689938,0.5634729028561463
