ticker,year,quarter,avg_price,sd_price,avg_pct_change,sd_pct_change,avg_range,avg_vol,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio,yearly_amount_per_share,num_per_year,three_year_dividend,pays_dividend,dividend_yield
ACB,2019,2019.3,74.081250140625,9.853097545714315,-0.008198837891907482,0.02780539902861755,3.4425006875000004,1122256,0,20,1.33,0,0.26,0,0,0,0,0
ACB,2019,2019.4,37.2824998125,8.877344821886076,-0.00783920606656402,0.05085968733725241,2.6235000937499997,2135456,0,9.99,0.87,0,0.22,0,0,0,0,0
ACB,2020,2020.1,17.861225693548388,5.874099993444254,-0.012286492295929263,0.05308614221626793,1.580516129032258,2773528,0,4.23,0.41,0,0.21,0,0,0,0,0
ACB,2020,2020.2,11.378222222222222,2.9722060474554026,-0.004673370187473648,0.08459000300378929,1.096952349206349,10119746,0,5.57,0.9,0,0.31,0,0,0,0,0
ACB,2020,2020.3,9.50203125,2.219390864298523,-0.009864517067260745,0.04157274209614712,0.5554687500000001,4747801,0,2.32,0.38,0,0.28,0,0,0,0,0
ACB,2020,2020.4,7.28796875,2.486169476458635,4.159831961934183e-4,0.07690831331107768,0.824875,38466954,0,4.5,0.91,0,0.29,0,0,0,0,0
ACB,2021,2021.2,9.14,NA,-0.0378947368421052,NA,0.4399999999999995,7015800,0,NA,NA,NA,NA,0,0,0,0,0
ACRX,2011,2011.4,2.8092063492063493,0.2711998524318134,-0.00913386171091099,0.027725880663630947,0.0961904761904762,5968,0,32.54,2.15,0,1.34,0,0,0,0,0
ACRX,2012,2012.1,3.008225806451613,0.44151573572963393,0.005316947341541773,0.054125630439444905,0.19306451612903225,7872,0,46.05,6.23,0,2.08,0,0,0,0,0
ACRX,2012,2012.2,3.3414285714285716,0.25738672511860644,-0.006790302329734639,0.033525834525811135,0.14698412698412694,4431,0,38.42,9.64,0,3.8,0,0,0,0,0
ACRX,2012,2012.3,3.1204761904761904,0.1971443598419988,-0.004720230839390502,0.029724645161875386,0.15507936507936504,37133,0,44.96,-221.53,0,-87.09,0,0,0,0,0
ACRX,2012,2012.4,3.528709677419355,0.5509648284599428,-0.0016188144583862778,0.04786524235155351,0.2780645161290323,253279,0,38.49,4.66,0,0.91,0,0,0,0,0
ACRX,2013,2013.1,5.057333333333333,0.3638441958724317,-0.0033614725697877572,0.03776722359396332,0.3468333333333333,276816,0,43.28,8.77,0,1.42,0,0,0,0,0
ACRX,2013,2013.2,7.13125,1.590167706040257,0.0030741970345565237,0.04346637853125599,0.5031249999999999,471665,0,77.72,57.43,0,5.75,0,0,0,0,0
ACRX,2013,2013.3,10.91125,0.9838658767799927,-8.527803698208667e-4,0.035459229593176066,0.6357812500000001,601956,0,86.13,8.72,0,0.52,0,0,0,0,0
ACRX,2013,2013.4,8.69140625,1.2818846086140465,-0.003088057158738844,0.0503105649776281,0.6318750000000002,796339,0,15.2,6.66,0,0.5,0,0,0,0,0
ACRX,2014,2014.1,11.848360655737705,0.7084753120325102,1.9909875541734338e-4,0.03498573569521801,0.6732786885245903,612495,0,16.66,8,0,0.54,0,0,0,0,0
ACRX,2014,2014.2,10.028253968253969,0.8642067772325348,-0.004119021238331044,0.03623989647216377,0.6399999999999999,587687,0,14.4,8,0,0.81,0,0,0,0,0
ACRX,2014,2014.3,7.86296875,1.7259225089627994,-9.615792185469419e-4,0.03967844465357942,0.48781250000000004,1188573,0,6.8,4.06,0,0.63,0,0,0,0,0
ACRX,2014,2014.4,6.48640625,0.42069619995755864,0.0056667029980245745,0.039635735305027536,0.3879687500000001,476854,0,57.08,6.31,0,0.85,0,0,0,0,0
ACRX,2015,2015.1,6.540327868852459,1.682045349381832,-0.004315055424020916,0.03800444959941372,0.3742622950819672,648760,0,32.22,4.17,0,0.84,0,0,0,0,0
ACRX,2015,2015.2,3.9104761904761904,0.4709750646485834,0.0013391535566781808,0.03524247977820561,0.2220634920634921,642152,0,26.24,5.63,0,0.9,0,0,0,0,0
ACRX,2015,2015.3,4.1096875,0.3275593669686289,-0.008839260115336362,0.04362001103927346,0.25546874999999997,533856,0,7.72,3.39,0,2.29,0,0,0,0,0
ACRX,2015,2015.4,4.28984375,0.7680804607891232,0.0020990933722883826,0.04821668412130019,0.319375,540290,0,8.98,5.26,0,2.86,0,0,0,0,0
ACRX,2016,2016.1,3.4681967213114753,0.3169201171521582,-0.003931306223672608,0.05106859534606882,0.28754098360655744,415891,0,6.27,5.95,0,4.17,0,0,0,0,0
ACRX,2016,2016.2,3.27609375,0.3298514200748526,-8.53763950554079e-4,0.027788308816121383,0.17265625,330337,0,4.91,9.03,0,7.41,0,0,0,0,0
ACRX,2016,2016.3,3.3221875,0.303803762633836,9.556097100015785e-4,0.03572237293143836,0.18468749999999995,357035,0,13.9,53.88,0,31.4,0,0,0,0,0
ACRX,2016,2016.4,3.0742857142857143,0.3159048156242038,-0.009827364012138483,0.0394530914567788,0.1650793650793651,207536,0,6.79,-22.09,0,-19.74,0,0,0,0,0
ACRX,2017,2017.1,2.9424193548387096,0.22682184446707465,-0.0038749853167208415,0.030543752827556236,0.14032258064516134,206316,0,8.19,-7.27,0,-5.5,0,0,0,0,0
ACRX,2017,2017.2,2.5401587301587303,0.21373402270784506,-0.006157886814271772,0.03613412237620772,0.15190476190476193,377490,0,6.26,-3.09,0,-3.47,0,0,0,0,0
ACRX,2017,2017.3,3.116825396825397,0.5465546792491253,0.003880593413401143,0.04406320183516417,0.21777777777777776,1443144,0,15.27,-7.53,0,-3.73,0,0,0,0,0
ACRX,2017,2017.4,2.440952380952381,1.1090416006126196,-0.004422538506969474,0.03995708821560684,0.17317460317460318,1766420,0,11.57,-2.82,0,-3.07,0,0,0,0,0
ACRX,2018,2018.1,1.9724590163934426,0.15806808382998466,-0.0020040894154720367,0.03449079940679046,0.09770491803278689,458029,0,18.55,-2.28,0,-2.4,0,0,0,0,0
ACRX,2018,2018.2,2.9709375,0.6736602665750034,-0.0018782784140422859,0.03029432397171759,0.1671875,599657,0,47.96,-3.68,0,-2.32,0,0,0,0,0
ACRX,2018,2018.3,3.212857142857143,0.40474774530216834,0.001586685183209632,0.037749866506067,0.18603174603174605,774658,0,86.36,-6.3,0,-3.06,0,0,0,0,0
ACRX,2018,2018.4,3.3577777777777778,0.6328926027336567,-0.0056014909343800184,0.08119635900040456,0.37063492063492065,4212173,0,58.79,42.78,0,27.34,0,0,0,0,0
ACRX,2019,2019.1,2.9132786885245903,0.42103729570144344,0.005084302223097148,0.0374657797572065,0.21967213114754097,2291619,0,96.88,-34.77,0,-15.38,0,0,0,0,0
ACRX,2019,2019.2,3.0028571428571427,0.5402849563900355,-0.0030841491043436028,0.03952330312707272,0.16523809523809527,1590406,0,78.9,-10.84,0,-7.25,0,0,0,0,0
ACRX,2019,2019.3,2.4575,0.20750980087773555,-9.149573732999932e-4,0.036649843931048476,0.15124999999999997,981285,0,65.8,-6.19,0,-4.71,0,0,0,0,0
ACRX,2019,2019.4,2.04140625,0.20290639946646444,8.707484079750677e-5,0.0368329854347681,0.09937500000000005,936914,0,72.91,-4.05,0,-3.21,0,0,0,0,0
ACRX,2020,2020.1,1.5259677419354838,0.3557926255348493,-0.007688687356443093,0.05934664706192868,0.11467741935483873,970806,0,38.82,-1.72,0,-2.4,0,0,0,0,0
ACRX,2020,2020.2,1.393015873015873,0.1305773151349597,-0.005410662000015304,0.04514692422539823,0.12000000000000002,1099646,0,22.11,-1.63,0,-2.12,0,0,0,0,0
ACRX,2020,2020.3,1.23953125,0.1685364610120795,-0.005479092914332322,0.05148708065522512,0.11703125,1506650,0,22.67,-2.22,0,-2.14,0,0,0,0,0
ACRX,2021,2021.2,1.7,NA,0.0059171597633136145,NA,0.10999999999999988,1957400,0,24.91,0,0,NA,0,0,0,0,0
ADMP,2006,2006.4,16.379365095238096,6.726264340489178,-0.012147138675373068,0.11121514746267615,2.2666667142857144,697,0,0.67,0.58,0,0.35,0,0,0,0,0
ADMP,2007,2007.1,11.231147540983606,3.2147338398695138,0.00900338277387459,0.12036769302614943,1.0590163934426229,526,0,2.09,1.18,0,0.31,0,0,0,0,0
