mod_num,time_to_create,n_yes_train,n_no_train,n_yes_test,n_no_test,ntrees,max_depth,min_rows,mtries,min_split_improvement,sample_rate,nbins,binomial_double_trees,seed,balance_classes,col_sample_rate_per_tree,r_2,mse,gini,auc,threshold_max_f1,sensitivity_max_f1,specificity_max_f1,precision_max_f1,accuracy_max_f1,threshold_max_accuracy,sensitivity_max_accuracy,specificity_max_accuracy,precision_max_accuracy,accuracy_max_accuracy,threshold_95_specificity,sensitivity_95_specificity,specificity_95_specificity,precision_95_specificity,accuracy_95_specificity,threshold_98_specificity,sensitivity_98_specificity,specificity_98_specificity,precision_98_specificity,accuracy_98_specificity
1,1.2959999999729916,144,368,64,125,25,3,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,-0.010727205300171905,0.2526744183651795,0.5516888733052827,0.7758444366526414,0.213885986418259,0.859375,0.392,0.4198473282442748,0.5502645502645502,0.386598511347597,0.15625,0.976,0.7692307692307693,0.6984126984126984,0.3788653570714573,0.15625,0.952,0.625,0.6825396825396826,0.5097400691211346,0.015625,0.984,0.3333333333333333,0.656084656084656
2,1.309000000008382,144,368,64,125,50,3,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,-0.011901631341412422,0.25296801629677496,0.5875336021505377,0.7937668010752689,0.216997061800156,0.828125,0.424,0.424,0.5608465608465608,0.416367122615186,0.09375,0.976,0.6666666666666666,0.6772486772486772,0.3759828672854512,0.125,0.952,0.5714285714285714,0.671957671957672,0.48587987261269194,0.03125,0.984,0.5,0.6613756613756614
3,1.2839999999850988,144,368,64,125,100,3,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,-0.0020935651320219684,0.2505160713884464,0.61112085086489,0.805560425432445,0.183571785637879,1,0.176,0.38323353293413176,0.455026455026455,0.388055297372334,0.109375,0.96,0.5833333333333334,0.671957671957672,0.3847299892578796,0.109375,0.952,0.5384615384615384,0.6666666666666666,0.5130774782878553,0.03125,0.984,0.5,0.6613756613756614
4,1.3009999999776483,144,368,64,125,150,3,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,-0.004987752013037694,0.25123959696781734,0.6070739831697054,0.8035369915848527,0.217090630875829,0.828125,0.408,0.41732283464566927,0.5502645502645502,0.406979460910095,0.09375,0.968,0.6,0.671957671957672,0.40184689118348177,0.09375,0.952,0.5,0.6613756613756614,0.5004577868870355,0.03125,0.984,0.5,0.6613756613756614
5,1.3070000000298023,144,368,64,125,200,3,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,-0.004742615088047852,0.2511783145271975,0.6175563931743806,0.8087781965871903,0.223292349542759,0.796875,0.456,0.42857142857142855,0.5714285714285714,0.406056696576661,0.09375,0.968,0.6,0.671957671957672,0.39154814721987286,0.09375,0.952,0.5,0.6613756613756614,0.4858510364762946,0.03125,0.984,0.5,0.6613756613756614
6,2.2989999999990687,144,368,64,125,300,3,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,-0.004527001248521456,0.2511244126422892,0.6188639551192145,0.8094319775596073,0.223811796939507,0.78125,0.448,0.42016806722689076,0.5608465608465608,0.398877436631435,0.09375,0.968,0.6,0.671957671957672,0.38132695063671507,0.125,0.952,0.5714285714285714,0.671957671957672,0.4862583104331323,0.03125,0.984,0.5,0.6613756613756614
7,4.342999999993481,144,368,64,125,500,3,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,-0.0015031003965384482,0.2503684595176854,0.6196528751753154,0.8098264375876577,0.244508006153525,0.71875,0.544,0.44660194174757284,0.6031746031746031,0.391968015516209,0.09375,0.968,0.6,0.671957671957672,0.3810552240281452,0.109375,0.952,0.5384615384615384,0.6666666666666666,0.4946023571650453,0.015625,0.984,0.3333333333333333,0.656084656084656
8,5.395999999949709,144,368,64,125,1000,3,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.0018756689479106914,0.24952379186213805,0.6240357643758765,0.8120178821879382,0.229683150266217,0.765625,0.504,0.44144144144144143,0.5925925925925926,0.386833094297113,0.109375,0.96,0.5833333333333334,0.671957671957672,0.3860446112730089,0.109375,0.952,0.5384615384615384,0.6666666666666666,0.5081085564036693,0.015625,0.984,0.3333333333333333,0.656084656084656
9,1.3249999999534339,144,368,64,125,25,7,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.34268104523003184,0.16432493723920663,0.8646709911173447,0.9323354955586723,0.204473704537137,0.78125,0.68,0.5555555555555556,0.7142857142857143,0.331729946950986,0.34375,0.96,0.8148148148148148,0.7513227513227513,0.3269565679917012,0.359375,0.952,0.7931034482758621,0.7513227513227513,0.7010201148923744,0.03125,0.984,0.5,0.6613756613756614
10,1.3080000000772998,144,368,64,125,50,7,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.3309347073367792,0.1672614359101977,0.8980247779336139,0.949012388966807,0.204151446416241,0.75,0.696,0.5581395348837209,0.7142857142857143,0.314806323928536,0.421875,0.928,0.75,0.7566137566137566,0.36182572327588836,0.234375,0.952,0.7142857142857143,0.708994708994709,0.70108434913956,0.015625,0.984,0.3333333333333333,0.656084656084656
